question_index,category,n_amb,volatility_var,disagreement_rate
1,AGE,15,8.546026011556144e-05,
1,DISABILITY_STATUS,22,1.8977892932045848e-05,
1,GENDER_IDENTITY,4,0.0023987057027534675,
1,NATIONALITY,18,0.000150350635828647,
1,PHYSICAL_APPEARANCE,31,0.0005507617930198096,
1,RACE_ETHNICITY,73,0.00023019116164235803,
1,RACE_X_GENDER,101,0.00014934362510065627,
1,RACE_X_SES,215,0.00037858685250874,
1,RELIGION,17,0.002059885874999116,
1,SES,22,0.0003269129615436841,
1,SEXUAL_ORIENTATION,11,6.0623617657608035e-05,
10,AGE,68,5.054069859526711e-05,
10,DISABILITY_STATUS,52,0.0002123990023024891,
10,GENDER_IDENTITY,32,9.354714711156715e-05,
10,NATIONALITY,49,0.0004210380926797518,
10,PHYSICAL_APPEARANCE,32,7.83427534398538e-05,
10,RACE_ETHNICITY,16,0.00010947564415169821,
10,RACE_X_SES,260,0.0023996800749208655,
10,RELIGION,17,0.00029952772265535,
10,SES,29,1.4098156633241658e-05,
10,SEXUAL_ORIENTATION,12,0.0006239080308787032,
11,AGE,42,6.481607196626456e-05,
11,DISABILITY_STATUS,32,0.00021463117064206082,
11,GENDER_IDENTITY,27,0.00044156801048841085,
11,NATIONALITY,85,0.0004962981126998834,
11,PHYSICAL_APPEARANCE,31,4.053252573750838e-05,
11,RACE_ETHNICITY,18,0.0017248833257281783,
11,RACE_X_GENDER,108,0.0002537557694124607,
11,RACE_X_SES,53,0.00024116263203698441,
11,RELIGION,18,0.00014444880225432494,
11,SES,211,0.00031941182288376516,
11,SEXUAL_ORIENTATION,19,1.579030007086758e-05,
12,AGE,46,2.9166334187908735e-05,
12,DISABILITY_STATUS,54,0.00035838945609020117,
12,GENDER_IDENTITY,29,3.989794813812063e-05,
12,NATIONALITY,90,0.00044084875883810214,
12,PHYSICAL_APPEARANCE,43,7.680135408027779e-05,
12,RACE_ETHNICITY,18,0.0013218086650073565,
12,RACE_X_GENDER,264,0.00037836505072629743,
12,RACE_X_SES,257,0.00048485469112252477,
12,RELIGION,19,0.00014492804857973567,
12,SES,210,0.00031398883142654856,
12,SEXUAL_ORIENTATION,14,0.00020821017511029997,
13,AGE,34,9.52845154864763e-06,
13,DISABILITY_STATUS,33,0.00010046808061575755,
13,GENDER_IDENTITY,16,0.0004899941788304808,
13,NATIONALITY,88,0.0004391039665542875,
13,PHYSICAL_APPEARANCE,35,0.0007639035157367755,
13,RACE_ETHNICITY,34,0.00037213372724579995,
13,RACE_X_GENDER,102,6.08514974364765e-05,
13,RACE_X_SES,49,0.00034569581777292514,
13,RELIGION,17,0.0006589009230851229,
13,SES,213,4.8051428438176644e-05,
13,SEXUAL_ORIENTATION,14,4.1858675885796466e-05,
14,AGE,56,4.574394619041172e-05,
14,DISABILITY_STATUS,26,0.00024677821728504273,
14,GENDER_IDENTITY,3,0.0010249453068288015,
14,NATIONALITY,17,0.00022829674063776085,
14,PHYSICAL_APPEARANCE,51,4.8568245211533356e-05,
14,RACE_ETHNICITY,31,0.00017144944244711237,
14,RACE_X_GENDER,262,0.00011886966917833696,
14,RACE_X_SES,254,0.00028762545096256445,
14,RELIGION,20,0.00032216269246967727,
14,SES,203,0.0001901756523237015,
14,SEXUAL_ORIENTATION,14,0.0002736279269401455,
15,AGE,31,2.6942883822774746e-05,
15,DISABILITY_STATUS,14,7.606576861085931e-05,
15,GENDER_IDENTITY,4,6.722556988473609e-05,
15,NATIONALITY,91,1.6697445362989627e-05,
15,PHYSICAL_APPEARANCE,29,8.778083010224853e-05,
15,RACE_ETHNICITY,19,0.0003082907052261949,
15,RACE_X_GENDER,50,0.0006652611428851997,
15,RACE_X_SES,104,0.00034793252857817934,
15,RELIGION,18,0.00011140488152501097,
15,SES,205,0.00037533506793453503,
15,SEXUAL_ORIENTATION,14,0.00024283771979936376,
16,AGE,81,7.180545287738632e-05,
16,DISABILITY_STATUS,22,0.0002986371722499514,
16,GENDER_IDENTITY,56,7.300032514417948e-05,
16,NATIONALITY,18,5.602849762825356e-05,
16,PHYSICAL_APPEARANCE,31,0.00011483931410580013,
16,RACE_ETHNICITY,34,8.682791273298037e-05,
16,RACE_X_SES,256,0.00024435292623541175,
16,RELIGION,17,0.0004058322370524771,
16,SES,19,0.0009770951019806295,
16,SEXUAL_ORIENTATION,15,0.0001907190370982026,
17,AGE,37,5.331176286978145e-05,
17,DISABILITY_STATUS,32,0.0005563020344148382,
17,GENDER_IDENTITY,53,0.00011774126960427063,
17,NATIONALITY,20,0.0005132937176303412,
17,PHYSICAL_APPEARANCE,15,3.9503062045602954e-05,
17,RACE_ETHNICITY,34,0.00024673388872954705,
17,RACE_X_GENDER,105,0.0007108301654850289,
17,RACE_X_SES,103,0.00016816052595133347,
17,RELIGION,15,0.000244416118329161,
17,SES,20,8.020405975077608e-05,
17,SEXUAL_ORIENTATION,14,0.00027349494050942836,
18,AGE,86,0.0003326973908209868,
18,DISABILITY_STATUS,21,0.0003210223590795425,
18,GENDER_IDENTITY,4,1.2104070689152453e-05,
18,NATIONALITY,16,0.0007025719616757061,
18,PHYSICAL_APPEARANCE,14,6.424025466241175e-05,
18,RACE_ETHNICITY,32,8.178022632524089e-05,
18,RACE_X_GENDER,254,0.0012729623408692242,
18,RACE_X_SES,266,8.423349236170244e-05,
18,RELIGION,16,0.00035442267450419183,
18,SES,20,0.00010619982489258412,
18,SEXUAL_ORIENTATION,13,0.00023768847494359997,
19,AGE,127,5.055386852384482e-05,
19,DISABILITY_STATUS,4,3.072218517038055e-05,
19,GENDER_IDENTITY,6,0.001274124444216321,
19,NATIONALITY,82,0.00020620601867240532,
19,PHYSICAL_APPEARANCE,10,0.00027908876771694745,
19,RACE_ETHNICITY,86,0.00043489122084528094,
19,RACE_X_GENDER,106,0.00042266929240545876,
19,RACE_X_SES,107,6.051753474670363e-05,
19,RELIGION,54,0.00031936931027275206,
19,SES,210,0.00020780425208779442,
19,SEXUAL_ORIENTATION,15,8.447136605151223e-05,
2,AGE,13,0.00021856848928463832,
2,DISABILITY_STATUS,106,8.894246663741566e-05,
2,GENDER_IDENTITY,3,0.0011414422967609048,
2,NATIONALITY,16,0.0008563964256760746,
2,PHYSICAL_APPEARANCE,32,9.558124779848997e-05,
2,RACE_ETHNICITY,38,0.0001787649865933157,
2,RACE_X_GENDER,253,0.0002998384700581584,
2,RACE_X_SES,262,0.00020336432432775163,
2,RELIGION,17,0.00028375415236989355,
2,SES,22,0.0003065698789513794,
2,SEXUAL_ORIENTATION,11,0.00042715518878414985,
20,AGE,67,0.000527155246275833,
20,DISABILITY_STATUS,23,9.607563616298906e-05,
20,GENDER_IDENTITY,3,0.0022641081418903752,
20,NATIONALITY,19,0.0008904999162299097,
20,PHYSICAL_APPEARANCE,13,5.418750371934153e-05,
20,RACE_ETHNICITY,34,0.0005963755061139694,
20,RACE_X_GENDER,253,0.0006327360712195857,
20,RACE_X_SES,263,6.208521673261663e-05,
20,RELIGION,19,0.001534627372891436,
20,SES,208,6.820238475408517e-05,
20,SEXUAL_ORIENTATION,13,0.0008282573875002588,
21,AGE,113,0.0004848388922484487,
21,DISABILITY_STATUS,22,0.00031295565060785314,
21,GENDER_IDENTITY,4,8.893384368106416e-05,
21,NATIONALITY,49,0.0006925429429098007,
21,PHYSICAL_APPEARANCE,6,0.00010056487193139694,
21,RACE_ETHNICITY,37,0.00015844752008664872,
21,RACE_X_GENDER,109,0.00020079528632467914,
21,RACE_X_SES,55,0.0001690532825829202,
21,RELIGION,15,0.0005815503923037858,
21,SES,205,0.0006972636250770545,
21,SEXUAL_ORIENTATION,22,4.758603097491805e-05,
22,AGE,113,0.00012236479680735235,
22,DISABILITY_STATUS,13,0.0005473112457360186,
22,GENDER_IDENTITY,4,4.7951178376119214e-06,
22,NATIONALITY,90,0.0002473081238876998,
22,PHYSICAL_APPEARANCE,24,4.0943078343712686e-05,
22,RACE_ETHNICITY,32,0.00031131966137539857,
22,RACE_X_GENDER,103,0.00013761610729126863,
22,RACE_X_SES,256,0.0003048223053580693,
22,RELIGION,19,0.00038213716054333205,
22,SES,209,6.996132863846527e-05,
22,SEXUAL_ORIENTATION,19,0.00024013960072484983,
23,AGE,145,9.70274215642446e-05,
23,DISABILITY_STATUS,15,0.0004708568390844629,
23,GENDER_IDENTITY,3,0.00011714143917037228,
23,NATIONALITY,84,0.0003342220229675127,
23,PHYSICAL_APPEARANCE,14,1.701100534450839e-05,
23,RACE_ETHNICITY,38,0.00022803412995507443,
23,RACE_X_GENDER,252,0.0004028245973508249,
23,RACE_X_SES,52,0.0006277087214986223,
23,RELIGION,18,0.00012363455918960534,
23,SES,211,0.00014571382864157114,
23,SEXUAL_ORIENTATION,12,0.00011048956779102795,
24,AGE,72,1.192973931133227e-05,
24,DISABILITY_STATUS,5,0.00021129895260401123,
24,GENDER_IDENTITY,4,0.000193353050839562,
24,NATIONALITY,92,0.0006185457866526794,
24,PHYSICAL_APPEARANCE,15,1.6927808727559813e-05,
24,RACE_ETHNICITY,17,0.0016518750327135857,
24,RACE_X_GENDER,105,0.0002694121245114156,
24,RACE_X_SES,260,0.0005379934214063222,
24,RELIGION,18,0.00016429122733296165,
24,SES,21,0.00022501962038803144,
24,SEXUAL_ORIENTATION,16,7.438766266047276e-05,
25,AGE,145,0.0003991842421004055,
25,DISABILITY_STATUS,22,0.00023267021527048032,
25,GENDER_IDENTITY,4,0.00042712352467895914,
25,NATIONALITY,19,9.46596333474902e-05,
25,PHYSICAL_APPEARANCE,29,0.00028069241014589097,
25,RACE_ETHNICITY,34,1.6648911487640892e-05,
25,RACE_X_GENDER,264,0.00034651090917369565,
25,RACE_X_SES,56,0.00035785894472507634,
25,RELIGION,15,0.0006899895302072622,
25,SES,21,6.938062381654657e-05,
25,SEXUAL_ORIENTATION,13,0.0004711685704756369,
26,GENDER_IDENTITY,87,0.0022572949257286643,
26,RACE_ETHNICITY,85,0.000129056985165418,
26,RACE_X_GENDER,109,6.877733606908403e-05,
26,RACE_X_SES,261,0.00023147903253056752,
27,GENDER_IDENTITY,89,0.0008837176290890915,
27,RACE_ETHNICITY,88,0.00044777913068554267,
27,RACE_X_GENDER,271,0.00010668628694228826,
28,GENDER_IDENTITY,88,0.00017549414155524094,
28,RACE_ETHNICITY,84,0.00012064391909106822,
28,RACE_X_GENDER,54,0.000774401159924452,
29,GENDER_IDENTITY,84,8.011923706989712e-05,
29,RACE_ETHNICITY,91,3.6935596239894965e-05,
29,RACE_X_GENDER,258,0.000583683301840449,
3,AGE,16,7.840433481155099e-05,
3,DISABILITY_STATUS,27,0.002002612795099418,
3,GENDER_IDENTITY,3,0.0007924591314463214,
3,NATIONALITY,15,5.733637388743104e-05,
3,PHYSICAL_APPEARANCE,35,1.8219199122207363e-05,
3,RACE_ETHNICITY,34,0.0006956856004152451,
3,RACE_X_GENDER,113,0.000802107779602987,
3,RACE_X_SES,212,0.00031650084836629155,
3,RELIGION,53,1.3896135537992702e-05,
3,SES,20,0.00017728165112003858,
3,SEXUAL_ORIENTATION,12,0.0004947927063970775,
30,GENDER_IDENTITY,87,0.00012836500067727252,
30,RACE_ETHNICITY,88,0.00014623433799425015,
30,RACE_X_GENDER,54,9.259438199684022e-05,
31,GENDER_IDENTITY,85,8.892250760120952e-05,
31,RACE_ETHNICITY,91,0.00035884358096675384,
31,RACE_X_GENDER,259,0.00011299545740288149,
32,GENDER_IDENTITY,81,4.001128729557211e-05,
32,RACE_ETHNICITY,91,0.00035422144110315465,
32,RACE_X_GENDER,111,0.00044958769994901004,
33,GENDER_IDENTITY,83,0.0011347830411679617,
33,RACE_ETHNICITY,81,0.0020312696685708467,
33,RACE_X_GENDER,268,0.0005230636258189504,
34,GENDER_IDENTITY,86,0.00024691993598376224,
34,RACE_ETHNICITY,89,0.0015575155852736078,
34,RACE_X_GENDER,98,0.00010829162006714076,
35,GENDER_IDENTITY,86,0.0001609641956141516,
35,RACE_ETHNICITY,85,0.00036587358627905705,
35,RACE_X_GENDER,263,0.00024238585520620993,
36,GENDER_IDENTITY,88,0.0003961933913491389,
36,RACE_ETHNICITY,90,0.00011414755817175524,
36,RACE_X_GENDER,109,4.3262943286161794e-05,
37,GENDER_IDENTITY,88,0.0003652905658029476,
37,RACE_ETHNICITY,90,0.0003730780061094076,
37,RACE_X_GENDER,260,0.00019073021836749443,
38,GENDER_IDENTITY,88,0.0005548873923297194,
38,RACE_ETHNICITY,85,3.2659267833161e-05,
38,RACE_X_GENDER,53,0.0006087873592419542,
39,GENDER_IDENTITY,86,0.0008299907421802233,
39,RACE_ETHNICITY,95,0.00020429990246028152,
39,RACE_X_GENDER,104,0.0005075817720888191,
4,AGE,41,7.527152296557982e-05,
4,DISABILITY_STATUS,3,9.796640235156438e-05,
4,GENDER_IDENTITY,3,0.00010064111398240972,
4,NATIONALITY,89,0.0005671460893239033,
4,PHYSICAL_APPEARANCE,31,3.739044747503508e-05,
4,RACE_ETHNICITY,16,0.00010173550837249854,
4,RACE_X_GENDER,262,0.0005388043114436964,
4,RACE_X_SES,257,0.00036416807041112615,
4,RELIGION,17,3.089849864303041e-05,
4,SES,214,5.7394601666335257e-05,
4,SEXUAL_ORIENTATION,15,2.101245931479922e-05,
40,GENDER_IDENTITY,83,6.913980337909184e-05,
40,RACE_ETHNICITY,82,0.0005566153788806131,
40,RACE_X_GENDER,255,0.0006350610393777446,
41,GENDER_IDENTITY,86,9.870112399686153e-05,
41,RACE_ETHNICITY,91,0.000244985421617133,
41,RACE_X_GENDER,50,0.002232796945175537,
42,GENDER_IDENTITY,84,3.462090610415292e-05,
42,RACE_ETHNICITY,83,0.0002417882666213436,
42,RACE_X_GENDER,266,0.0008446966111063833,
43,GENDER_IDENTITY,85,0.0006958082996101277,
43,RACE_ETHNICITY,83,0.0001482626225319569,
43,RACE_X_GENDER,56,0.00042028246153282656,
44,GENDER_IDENTITY,84,6.148468641640791e-05,
44,RACE_ETHNICITY,94,0.00017965825676274778,
44,RACE_X_GENDER,269,0.00038833373484886403,
45,GENDER_IDENTITY,83,0.0003384637771516298,
45,RACE_ETHNICITY,83,0.00013834839736424307,
46,GENDER_IDENTITY,88,1.3687247288024203e-05,
46,RACE_ETHNICITY,84,8.220723751680429e-05,
47,GENDER_IDENTITY,89,0.0002958034635259925,
47,RACE_ETHNICITY,87,0.00041131579504422326,
48,GENDER_IDENTITY,85,7.5019105726813e-05,
48,RACE_ETHNICITY,85,0.00021907827113175815,
49,GENDER_IDENTITY,87,0.00011524142408282835,
49,RACE_ETHNICITY,90,0.001058947050626287,
5,AGE,32,0.0005708920223907582,
5,DISABILITY_STATUS,8,1.5089052334906092e-05,
5,GENDER_IDENTITY,3,4.711841904499708e-06,
5,NATIONALITY,84,9.845046066323214e-05,
5,PHYSICAL_APPEARANCE,32,4.225237137771432e-05,
5,RACE_ETHNICITY,18,1.3451033810608036e-05,
5,RACE_X_GENDER,56,0.0013607701870172117,
5,RACE_X_SES,209,0.000197299034920391,
5,RELIGION,18,0.00010757168880313462,
5,SES,205,0.00020163298569020037,
5,SEXUAL_ORIENTATION,12,6.732495795901843e-06,
50,GENDER_IDENTITY,86,5.677236501155376e-05,
50,RACE_ETHNICITY,91,0.00013374206833472317,
6,AGE,57,1.3491231579613423e-05,
6,DISABILITY_STATUS,14,5.00104535973535e-05,
6,GENDER_IDENTITY,4,5.00801799911225e-06,
6,NATIONALITY,18,4.741439422428124e-05,
6,PHYSICAL_APPEARANCE,90,8.076818015719871e-05,
6,RACE_ETHNICITY,35,5.489743174270286e-05,
6,RACE_X_GENDER,256,0.0016283466221053762,
6,RACE_X_SES,253,0.0002408871115613604,
6,RELIGION,18,0.0002980006412464828,
6,SES,22,7.082014511817483e-05,
6,SEXUAL_ORIENTATION,14,5.995340902319226e-05,
7,AGE,52,0.0001862995120995523,
7,DISABILITY_STATUS,14,0.0001394823651263782,
7,GENDER_IDENTITY,2,5.062411264589173e-05,
7,NATIONALITY,19,0.000548831885616753,
7,PHYSICAL_APPEARANCE,14,0.0001388590659911135,
7,RACE_ETHNICITY,34,0.0004592439087619097,
7,RACE_X_GENDER,106,6.530580589873708e-05,
7,RACE_X_SES,215,0.0017640169956251426,
7,RELIGION,33,0.000252292240720893,
7,SES,19,5.279784560336078e-05,
7,SEXUAL_ORIENTATION,17,0.00025724698445456543,
8,AGE,55,0.00011084763497451724,
8,DISABILITY_STATUS,23,0.00010342421204760981,
8,GENDER_IDENTITY,3,0.0013447544680265846,
8,NATIONALITY,86,0.00011507740087654604,
8,PHYSICAL_APPEARANCE,15,0.0001416011980323345,
8,RACE_ETHNICITY,33,0.0007945309515290346,
8,RACE_X_GENDER,265,8.851798275943731e-05,
8,RACE_X_SES,262,0.002078300582250585,
8,RELIGION,17,0.0013010592589402222,
8,SES,209,0.00012206826006122676,
8,SEXUAL_ORIENTATION,12,0.00010968350890703804,
9,AGE,32,5.232443645022694e-05,
9,DISABILITY_STATUS,70,0.00017732717721782529,
9,GENDER_IDENTITY,2,2.6136180579783286e-06,
9,NATIONALITY,91,0.0008240142887644404,
9,PHYSICAL_APPEARANCE,3,0.00012068217916668342,
9,RACE_ETHNICITY,17,0.00015615661545244285,
9,RACE_X_GENDER,56,0.00015374050447211743,
9,RACE_X_SES,51,0.0003436268613652176,
9,RELIGION,18,0.00034988601649756475,
9,SES,33,0.0003971499947861136,
9,SEXUAL_ORIENTATION,13,0.00019662090533628524,
