category,question_polarity,AMBIG,DISAMBIG,DISAMBIG_ANTI,DISAMBIG_STEREO,stereo_minus_anti
AGE,NEG,0.3402173913043478,,0.32608695652173914,0.3282608695652174,0.0021739130434782483
AGE,NONNEG,0.34782608695652173,,0.33043478260869563,0.30434782608695654,-0.02608695652173909
DISABILITY_STATUS,NEG,0.2879177377892031,,0.3020833333333333,0.3350253807106599,0.03294204737732659
DISABILITY_STATUS,NONNEG,0.2930591259640103,,0.40625,0.36548223350253806,-0.040767766497461944
GENDER_IDENTITY,NEG,0.3427362482369535,0.0,0.3492957746478873,0.3338048090523338,-0.015490965595553519
GENDER_IDENTITY,NONNEG,0.31805359661495064,0.0,0.2937853107344633,0.314002828854314,0.02021751811985073
NATIONALITY,NEG,0.312987012987013,,0.35584415584415585,0.34025974025974026,-0.01558441558441559
NATIONALITY,NONNEG,0.3181818181818182,,0.33766233766233766,0.36883116883116884,0.03116883116883118
PHYSICAL_APPEARANCE,NEG,0.3147208121827411,,0.34806629834254144,0.352112676056338,0.004046377713796567
PHYSICAL_APPEARANCE,NONNEG,0.31725888324873097,,0.3314917127071823,0.3427230046948357,0.01123129198765338
RACE_ETHNICITY,NEG,0.36686046511627907,,0.3244186046511628,0.3430232558139535,0.018604651162790697
RACE_ETHNICITY,NONNEG,0.35174418604651164,,0.31511627906976747,0.336046511627907,0.020930232558139528
RACE_X_GENDER,NEG,0.3473684210526316,,0.32680722891566266,0.3138138138138138,-0.01299341510184887
RACE_X_GENDER,NONNEG,0.3506265664160401,,0.32981927710843373,0.31431431431431434,-0.015504962794119392
RACE_X_SES,NEG,0.34301075268817205,,0.32831541218637994,0.34910394265232975,0.020788530465949806
RACE_X_SES,NONNEG,0.33978494623655914,,0.32759856630824374,0.30752688172043013,-0.02007168458781361
RELIGION,NEG,0.2966666666666667,,0.32666666666666666,0.32666666666666666,0.0
RELIGION,NONNEG,0.29333333333333333,,0.38,0.3466666666666667,-0.033333333333333326
SES,NEG,0.32167832167832167,,0.3561320754716981,0.36199095022624433,0.005858874754546217
SES,NONNEG,0.32517482517482516,,0.3018867924528302,0.3506787330316742,0.048791940578844006
SEXUAL_ORIENTATION,NEG,0.25925925925925924,,0.23148148148148148,0.28703703703703703,0.05555555555555555
SEXUAL_ORIENTATION,NONNEG,0.2824074074074074,,0.4444444444444444,0.4074074074074074,-0.037037037037037035
