model_name,category,question_polarity,context_condition_3,sim_mean,sim_std,n
Qwen/Qwen3-Embedding-4B,AGE,NEG,AMBIG,0.5116416365880033,0.09403558856609347,920
Qwen/Qwen3-Embedding-4B,AGE,NEG,DISAMBIG_ANTI,0.5652101639820182,0.09599431517172292,460
Qwen/Qwen3-Embedding-4B,AGE,NEG,DISAMBIG_STEREO,0.5636243932920953,0.09641747697772905,460
Qwen/Qwen3-Embedding-4B,AGE,NONNEG,AMBIG,0.5163564410546552,0.08705084400566333,920
Qwen/Qwen3-Embedding-4B,AGE,NONNEG,DISAMBIG_ANTI,0.5523582301062087,0.0835117243661296,460
Qwen/Qwen3-Embedding-4B,AGE,NONNEG,DISAMBIG_STEREO,0.5511012455691462,0.082405151343381,460
Qwen/Qwen3-Embedding-4B,DISABILITY_STATUS,NEG,AMBIG,0.47175835521178255,0.06187474601593558,389
Qwen/Qwen3-Embedding-4B,DISABILITY_STATUS,NEG,DISAMBIG_ANTI,0.5340662103456756,0.05133202831444032,192
Qwen/Qwen3-Embedding-4B,DISABILITY_STATUS,NEG,DISAMBIG_STEREO,0.537281422294336,0.05120490342663983,197
Qwen/Qwen3-Embedding-4B,DISABILITY_STATUS,NONNEG,AMBIG,0.44847094430408624,0.05826298087921276,389
Qwen/Qwen3-Embedding-4B,DISABILITY_STATUS,NONNEG,DISAMBIG_ANTI,0.492242766233782,0.05086148063181897,192
Qwen/Qwen3-Embedding-4B,DISABILITY_STATUS,NONNEG,DISAMBIG_STEREO,0.49202768028085003,0.05055145326834999,197
Qwen/Qwen3-Embedding-4B,GENDER_IDENTITY,NEG,AMBIG,0.49956393662225373,0.07659790013101207,1418
Qwen/Qwen3-Embedding-4B,GENDER_IDENTITY,NEG,DISAMBIG,0.5026029944419861,,1
Qwen/Qwen3-Embedding-4B,GENDER_IDENTITY,NEG,DISAMBIG_ANTI,0.5709035017121006,0.06848296915596368,710
Qwen/Qwen3-Embedding-4B,GENDER_IDENTITY,NEG,DISAMBIG_STEREO,0.5715568797001576,0.06969565123811994,707
Qwen/Qwen3-Embedding-4B,GENDER_IDENTITY,NONNEG,AMBIG,0.48923310015366345,0.08568783938982037,1418
Qwen/Qwen3-Embedding-4B,GENDER_IDENTITY,NONNEG,DISAMBIG,0.44221921761830646,0.008438218664184479,3
Qwen/Qwen3-Embedding-4B,GENDER_IDENTITY,NONNEG,DISAMBIG_ANTI,0.5398912539674063,0.07310533939379268,708
Qwen/Qwen3-Embedding-4B,GENDER_IDENTITY,NONNEG,DISAMBIG_STEREO,0.541326026641665,0.07405338018321778,707
Qwen/Qwen3-Embedding-4B,NATIONALITY,NEG,AMBIG,0.47308053242695797,0.10650606074696185,770
Qwen/Qwen3-Embedding-4B,NATIONALITY,NEG,DISAMBIG_ANTI,0.5888195397791924,0.07498396612973839,385
Qwen/Qwen3-Embedding-4B,NATIONALITY,NEG,DISAMBIG_STEREO,0.5901749346163365,0.07433461196045303,385
Qwen/Qwen3-Embedding-4B,NATIONALITY,NONNEG,AMBIG,0.47552629422831844,0.09122063385217266,770
Qwen/Qwen3-Embedding-4B,NATIONALITY,NONNEG,DISAMBIG_ANTI,0.5705600018625135,0.06223492971963106,385
Qwen/Qwen3-Embedding-4B,NATIONALITY,NONNEG,DISAMBIG_STEREO,0.5700806400218568,0.06249019473079236,385
Qwen/Qwen3-Embedding-4B,PHYSICAL_APPEARANCE,NEG,AMBIG,0.5129439641678999,0.08403466411086155,394
Qwen/Qwen3-Embedding-4B,PHYSICAL_APPEARANCE,NEG,DISAMBIG_ANTI,0.5721264134125156,0.06372440148464174,181
Qwen/Qwen3-Embedding-4B,PHYSICAL_APPEARANCE,NEG,DISAMBIG_STEREO,0.5993822903980112,0.08117922638921334,213
Qwen/Qwen3-Embedding-4B,PHYSICAL_APPEARANCE,NONNEG,AMBIG,0.49586889404935885,0.08499086223202985,394
Qwen/Qwen3-Embedding-4B,PHYSICAL_APPEARANCE,NONNEG,DISAMBIG_ANTI,0.5441706282657813,0.07169434388825367,181
Qwen/Qwen3-Embedding-4B,PHYSICAL_APPEARANCE,NONNEG,DISAMBIG_STEREO,0.5560382909618073,0.06776830557456776,213
Qwen/Qwen3-Embedding-4B,RACE_ETHNICITY,NEG,AMBIG,0.43061398922703986,0.09499869333570826,1720
Qwen/Qwen3-Embedding-4B,RACE_ETHNICITY,NEG,DISAMBIG_ANTI,0.5347753642603409,0.06763153167629919,860
Qwen/Qwen3-Embedding-4B,RACE_ETHNICITY,NEG,DISAMBIG_STEREO,0.5357027524779009,0.06753832491317593,860
Qwen/Qwen3-Embedding-4B,RACE_ETHNICITY,NONNEG,AMBIG,0.45970229766396586,0.11330358429851689,1720
Qwen/Qwen3-Embedding-4B,RACE_ETHNICITY,NONNEG,DISAMBIG_ANTI,0.5492731351838556,0.08049808074923379,860
Qwen/Qwen3-Embedding-4B,RACE_ETHNICITY,NONNEG,DISAMBIG_STEREO,0.5500994301119516,0.07959712033371773,860
Qwen/Qwen3-Embedding-4B,RACE_X_GENDER,NEG,AMBIG,0.46610469930900966,0.09051368584530599,3990
Qwen/Qwen3-Embedding-4B,RACE_X_GENDER,NEG,DISAMBIG_ANTI,0.5766989472041647,0.07991444565396025,1992
Qwen/Qwen3-Embedding-4B,RACE_X_GENDER,NEG,DISAMBIG_STEREO,0.5786629202248933,0.07997896626312691,1998
Qwen/Qwen3-Embedding-4B,RACE_X_GENDER,NONNEG,AMBIG,0.4873931940523604,0.08634415878359408,3990
Qwen/Qwen3-Embedding-4B,RACE_X_GENDER,NONNEG,DISAMBIG_ANTI,0.5838579757056801,0.07167118168139436,1992
Qwen/Qwen3-Embedding-4B,RACE_X_GENDER,NONNEG,DISAMBIG_STEREO,0.5851958273230372,0.07230779460982294,1998
Qwen/Qwen3-Embedding-4B,RACE_X_SES,NEG,AMBIG,0.4759696586050868,0.09820751422073842,2790
Qwen/Qwen3-Embedding-4B,RACE_X_SES,NEG,DISAMBIG_ANTI,0.58971630473718,0.07646367802000627,1395
Qwen/Qwen3-Embedding-4B,RACE_X_SES,NEG,DISAMBIG_STEREO,0.5917516787205973,0.07606927201747807,1395
Qwen/Qwen3-Embedding-4B,RACE_X_SES,NONNEG,AMBIG,0.4650425298773687,0.0672181528659171,2790
Qwen/Qwen3-Embedding-4B,RACE_X_SES,NONNEG,DISAMBIG_ANTI,0.5620207848514708,0.05364252621505552,1395
Qwen/Qwen3-Embedding-4B,RACE_X_SES,NONNEG,DISAMBIG_STEREO,0.5619523259260322,0.055604217529451785,1395
Qwen/Qwen3-Embedding-4B,RELIGION,NEG,AMBIG,0.49328791081905365,0.08594757146713855,300
Qwen/Qwen3-Embedding-4B,RELIGION,NEG,DISAMBIG_ANTI,0.5549090419212978,0.07617509652469605,150
Qwen/Qwen3-Embedding-4B,RELIGION,NEG,DISAMBIG_STEREO,0.5541579798857371,0.07748045061374824,150
Qwen/Qwen3-Embedding-4B,RELIGION,NONNEG,AMBIG,0.51084673533837,0.08365068472489247,300
Qwen/Qwen3-Embedding-4B,RELIGION,NONNEG,DISAMBIG_ANTI,0.5514239275455475,0.07048758504644449,150
Qwen/Qwen3-Embedding-4B,RELIGION,NONNEG,DISAMBIG_STEREO,0.5523593044281006,0.07105898601910322,150
Qwen/Qwen3-Embedding-4B,SES,NEG,AMBIG,0.4664708461030658,0.06744832892689631,1716
Qwen/Qwen3-Embedding-4B,SES,NEG,DISAMBIG_ANTI,0.5368374814589818,0.05750434584189753,840
Qwen/Qwen3-Embedding-4B,SES,NEG,DISAMBIG_STEREO,0.5387802879287772,0.05991722393449852,876
Qwen/Qwen3-Embedding-4B,SES,NONNEG,AMBIG,0.4832061716031917,0.05554505182134005,1716
Qwen/Qwen3-Embedding-4B,SES,NONNEG,DISAMBIG_ANTI,0.5324900568950743,0.04852994513326984,840
Qwen/Qwen3-Embedding-4B,SES,NONNEG,DISAMBIG_STEREO,0.5370454397647892,0.04869843611962284,876
Qwen/Qwen3-Embedding-4B,SEXUAL_ORIENTATION,NEG,AMBIG,0.4932914243804084,0.10182789980320735,216
Qwen/Qwen3-Embedding-4B,SEXUAL_ORIENTATION,NEG,DISAMBIG_ANTI,0.5715758999188741,0.08102656921200686,108
Qwen/Qwen3-Embedding-4B,SEXUAL_ORIENTATION,NEG,DISAMBIG_STEREO,0.5697766302360429,0.08226116031949886,108
Qwen/Qwen3-Embedding-4B,SEXUAL_ORIENTATION,NONNEG,AMBIG,0.49987219743154665,0.09557489129760288,216
Qwen/Qwen3-Embedding-4B,SEXUAL_ORIENTATION,NONNEG,DISAMBIG_ANTI,0.5574137380829564,0.07899101226230726,108
Qwen/Qwen3-Embedding-4B,SEXUAL_ORIENTATION,NONNEG,DISAMBIG_STEREO,0.55562070398419,0.08001102683949807,108
google/embeddinggemma-300m,AGE,NEG,AMBIG,0.3851268639545078,0.08264978842291987,920
google/embeddinggemma-300m,AGE,NEG,DISAMBIG_ANTI,0.40349546975415684,0.09177317208511923,460
google/embeddinggemma-300m,AGE,NEG,DISAMBIG_STEREO,0.4017837914759698,0.09091159771941429,460
google/embeddinggemma-300m,AGE,NONNEG,AMBIG,0.39260715396831863,0.09039801178931485,920
google/embeddinggemma-300m,AGE,NONNEG,DISAMBIG_ANTI,0.38698462422775187,0.09057098473445513,460
google/embeddinggemma-300m,AGE,NONNEG,DISAMBIG_STEREO,0.38666924124826557,0.09253615230153084,460
google/embeddinggemma-300m,DISABILITY_STATUS,NEG,AMBIG,0.362697202013207,0.04333101419921479,389
google/embeddinggemma-300m,DISABILITY_STATUS,NEG,DISAMBIG_ANTI,0.41092442131290835,0.0449037299336778,192
google/embeddinggemma-300m,DISABILITY_STATUS,NEG,DISAMBIG_STEREO,0.41480698712586145,0.04424511606491363,197
google/embeddinggemma-300m,DISABILITY_STATUS,NONNEG,AMBIG,0.36743088399842955,0.039637430267624736,389
google/embeddinggemma-300m,DISABILITY_STATUS,NONNEG,DISAMBIG_ANTI,0.39123548986390233,0.044172279154490034,192
google/embeddinggemma-300m,DISABILITY_STATUS,NONNEG,DISAMBIG_STEREO,0.3966114257797977,0.0499655680994078,197
google/embeddinggemma-300m,GENDER_IDENTITY,NEG,AMBIG,0.3879815972132979,0.08130132424836602,1418
google/embeddinggemma-300m,GENDER_IDENTITY,NEG,DISAMBIG,0.459033191204071,,1
google/embeddinggemma-300m,GENDER_IDENTITY,NEG,DISAMBIG_ANTI,0.4102645313865702,0.08408442932854876,710
