question_index,category,n_amb,volatility_var,disagreement_rate
1,AGE,15,0.0007564426436922775,
1,DISABILITY_STATUS,22,0.0014918421136351243,
1,GENDER_IDENTITY,4,0.003817925731023427,
1,NATIONALITY,18,0.0034010702831787287,
1,PHYSICAL_APPEARANCE,31,0.004773857472766097,
1,RACE_ETHNICITY,73,0.00128815353760403,
1,RACE_X_GENDER,101,0.004805714439912434,
1,RACE_X_SES,215,0.001992319587829865,
1,RELIGION,17,0.002977412592299206,
1,SES,22,0.0008373968366341686,
1,SEXUAL_ORIENTATION,11,0.005638686076937576,
10,AGE,68,0.0003848365144983858,
10,DISABILITY_STATUS,52,0.0011126246487397152,
10,GENDER_IDENTITY,32,0.0035213802234811092,
10,NATIONALITY,49,0.0026234226032072626,
10,PHYSICAL_APPEARANCE,32,0.0015247529571366667,
10,RACE_ETHNICITY,16,0.003467716227124369,
10,RACE_X_SES,260,0.011766681830656173,
10,RELIGION,17,0.0011583223514999425,
10,SES,29,0.0007350224107875603,
10,SEXUAL_ORIENTATION,12,0.003762760480445528,
11,AGE,42,7.865817734778083e-05,
11,DISABILITY_STATUS,32,0.000881800419595315,
11,GENDER_IDENTITY,27,0.003408808561824225,
11,NATIONALITY,85,0.010956417876797065,
11,PHYSICAL_APPEARANCE,31,0.0015120081687596343,
11,RACE_ETHNICITY,18,0.0027931988003864093,
11,RACE_X_GENDER,108,0.0017223449419440256,
11,RACE_X_SES,53,0.0023523869722662347,
11,RELIGION,18,0.0047251561774993775,
11,SES,211,0.0036273362575833024,
11,SEXUAL_ORIENTATION,19,0.0014234766695444137,
12,AGE,46,0.0015341613099450076,
12,DISABILITY_STATUS,54,0.0008067373740167747,
12,GENDER_IDENTITY,29,0.0022464684425617084,
12,NATIONALITY,90,0.00744239013345061,
12,PHYSICAL_APPEARANCE,43,0.0007874042769304209,
12,RACE_ETHNICITY,18,0.014731918768732869,
12,RACE_X_GENDER,264,0.0029122116543762264,
12,RACE_X_SES,257,0.0036507448348453843,
12,RELIGION,19,0.0021084973328472215,
12,SES,210,0.0006837786480373144,
12,SEXUAL_ORIENTATION,14,0.0005529710664806114,
13,AGE,34,0.00020271217136527803,
13,DISABILITY_STATUS,33,0.0010176532213282887,
13,GENDER_IDENTITY,16,0.0018912079094291078,
13,NATIONALITY,88,0.002753682488479454,
13,PHYSICAL_APPEARANCE,35,0.005553787978903491,
13,RACE_ETHNICITY,34,0.0029738715733333577,
13,RACE_X_GENDER,102,0.0007448695251197497,
13,RACE_X_SES,49,0.00166493728303069,
13,RELIGION,17,0.0045471337998611,
13,SES,213,0.0003789453238382647,
13,SEXUAL_ORIENTATION,14,0.0026479000902337427,
14,AGE,56,0.002603683115630381,
14,DISABILITY_STATUS,26,0.0017055476674803002,
14,GENDER_IDENTITY,3,0.011411718459959214,
14,NATIONALITY,17,0.0029116805415765395,
14,PHYSICAL_APPEARANCE,51,0.00043577439410001114,
14,RACE_ETHNICITY,31,0.00776633348985939,
14,RACE_X_GENDER,262,0.00175895106901676,
14,RACE_X_SES,254,0.0020792310857881127,
14,RELIGION,20,0.0027449068712941836,
14,SES,203,0.0005719616615898044,
14,SEXUAL_ORIENTATION,14,0.001153335778372134,
15,AGE,31,0.003998278960639716,
15,DISABILITY_STATUS,14,0.00026060157879400335,
15,GENDER_IDENTITY,4,0.0036337331881322044,
15,NATIONALITY,91,0.0009365918133122375,
15,PHYSICAL_APPEARANCE,29,0.0015242519138139283,
15,RACE_ETHNICITY,19,0.0023458388742266397,
15,RACE_X_GENDER,50,0.0014659081919650354,
15,RACE_X_SES,104,0.0006719583563251448,
15,RELIGION,18,0.000816294220501152,
15,SES,205,0.003878096115367267,
15,SEXUAL_ORIENTATION,14,0.0016281275073743383,
16,AGE,81,0.004834299390246847,
16,DISABILITY_STATUS,22,0.0021162403638213807,
16,GENDER_IDENTITY,56,0.001031750034588328,
16,NATIONALITY,18,0.0002753383755409586,
16,PHYSICAL_APPEARANCE,31,0.0020581805675141808,
16,RACE_ETHNICITY,34,0.0006044213206957981,
16,RACE_X_SES,256,0.003502769050318892,
16,RELIGION,17,0.0010405054400778907,
16,SES,19,0.003617983869263331,
16,SEXUAL_ORIENTATION,15,0.0005291617455573456,
17,AGE,37,0.0014331577969678118,
17,DISABILITY_STATUS,32,0.00245413577275634,
17,GENDER_IDENTITY,53,0.001100219928620133,
17,NATIONALITY,20,0.003641022235385804,
17,PHYSICAL_APPEARANCE,15,0.0005346987296929586,
17,RACE_ETHNICITY,34,0.0006967171510469299,
17,RACE_X_GENDER,105,0.0018748183564306065,
17,RACE_X_SES,103,0.0018019736758979918,
17,RELIGION,15,0.0012798278180414751,
17,SES,20,0.00213199512246714,
17,SEXUAL_ORIENTATION,14,0.0005923750317169064,
18,AGE,86,0.0003297736825486334,
18,DISABILITY_STATUS,21,0.002150401417865957,
18,GENDER_IDENTITY,4,1.6523728681846048e-05,
18,NATIONALITY,16,0.0016883805150317913,
18,PHYSICAL_APPEARANCE,14,0.0020936158969379224,
18,RACE_ETHNICITY,32,0.0016808493799608318,
18,RACE_X_GENDER,254,0.0036156140469921962,
18,RACE_X_SES,266,0.0021866085703535322,
18,RELIGION,16,0.0002473912695500827,
18,SES,20,0.000782365449308714,
18,SEXUAL_ORIENTATION,13,0.0008098778585165545,
19,AGE,127,0.0011804281210223409,
19,DISABILITY_STATUS,4,3.499659220877286e-05,
19,GENDER_IDENTITY,6,0.005216333989703041,
19,NATIONALITY,82,0.001761842962823028,
19,PHYSICAL_APPEARANCE,10,0.0047807525314490975,
19,RACE_ETHNICITY,86,0.003980079607062146,
19,RACE_X_GENDER,106,0.0026710464023317073,
19,RACE_X_SES,107,0.00012977714702722197,
19,RELIGION,54,0.0015381161726806258,
19,SES,210,0.0014241041002455283,
19,SEXUAL_ORIENTATION,15,0.00012762731153311918,
2,AGE,13,0.002189398564037347,
2,DISABILITY_STATUS,106,0.0019131412209733604,
2,GENDER_IDENTITY,3,0.004958525892392394,
2,NATIONALITY,16,0.007661038516990224,
2,PHYSICAL_APPEARANCE,32,0.0005567300345027391,
2,RACE_ETHNICITY,38,0.003963263507517367,
2,RACE_X_GENDER,253,0.004905398182390188,
2,RACE_X_SES,262,0.0023404002238593723,
2,RELIGION,17,0.0009508885221999275,
2,SES,22,0.0005314182499178892,
2,SEXUAL_ORIENTATION,11,0.0035517671732569166,
20,AGE,67,0.0037413013565163944,
20,DISABILITY_STATUS,23,0.0005180496484568721,
20,GENDER_IDENTITY,3,0.004205822132524814,
20,NATIONALITY,19,0.009015248160417254,
20,PHYSICAL_APPEARANCE,13,0.004884144031600329,
20,RACE_ETHNICITY,34,0.003562000894790906,
20,RACE_X_GENDER,253,0.004006992771188175,
20,RACE_X_SES,263,0.0004894783573388436,
20,RELIGION,19,0.0015153823735853515,
20,SES,208,0.0010523904212191972,
20,SEXUAL_ORIENTATION,13,0.013379652954200164,
21,AGE,113,0.0019676706785269325,
21,DISABILITY_STATUS,22,0.002329936737511575,
21,GENDER_IDENTITY,4,2.060185959518174e-05,
21,NATIONALITY,49,0.008216145640434417,
21,PHYSICAL_APPEARANCE,6,0.0006084658367542831,
21,RACE_ETHNICITY,37,0.001314683372121216,
21,RACE_X_GENDER,109,0.0012183653944225102,
21,RACE_X_SES,55,0.00368706913409284,
21,RELIGION,15,0.001416086822611903,
21,SES,205,0.0033591519144650027,
21,SEXUAL_ORIENTATION,22,0.0005754900837661776,
22,AGE,113,0.0018582856627459038,
22,DISABILITY_STATUS,13,0.005839529104944227,
22,GENDER_IDENTITY,4,1.3351545953573487e-05,
22,NATIONALITY,90,0.001594694296277711,
22,PHYSICAL_APPEARANCE,24,0.001487658056998961,
22,RACE_ETHNICITY,32,0.001374290922743701,
22,RACE_X_GENDER,103,0.0013270625278683523,
22,RACE_X_SES,256,0.0030899416597029578,
22,RELIGION,19,0.001439116438156126,
22,SES,209,0.0006429031361699384,
22,SEXUAL_ORIENTATION,19,0.003783301876636971,
23,AGE,145,0.0010374600056398179,
23,DISABILITY_STATUS,15,0.0025634760520818105,
23,GENDER_IDENTITY,3,0.0003096803677768989,
23,NATIONALITY,84,0.0053988272364097175,
23,PHYSICAL_APPEARANCE,14,6.283362213190961e-05,
23,RACE_ETHNICITY,38,0.0013301446030599886,
23,RACE_X_GENDER,252,0.0019616949466350715,
23,RACE_X_SES,52,0.004505114220607711,
23,RELIGION,18,0.0005811363300966591,
23,SES,211,0.0003860486885842217,
23,SEXUAL_ORIENTATION,12,0.002890504416534451,
24,AGE,72,0.000400072291696599,
24,DISABILITY_STATUS,5,0.005489862772817665,
24,GENDER_IDENTITY,4,0.00011098198186550623,
24,NATIONALITY,92,0.0014462340220842622,
24,PHYSICAL_APPEARANCE,15,0.00025469547221077714,
24,RACE_ETHNICITY,17,0.006511668456182514,
24,RACE_X_GENDER,105,0.0011682610687754299,
24,RACE_X_SES,260,0.007542618009241266,
24,RELIGION,18,0.0006492460258392972,
24,SES,21,0.0015313555879199964,
24,SEXUAL_ORIENTATION,16,0.00017021303405891184,
25,AGE,145,0.0008083268710044035,
25,DISABILITY_STATUS,22,0.0008546563916911097,
25,GENDER_IDENTITY,4,0.0029990432944974423,
25,NATIONALITY,19,0.00097398060210028,
25,PHYSICAL_APPEARANCE,29,0.003303926589082548,
25,RACE_ETHNICITY,34,0.00016298292049432458,
25,RACE_X_GENDER,264,0.002109696431341497,
25,RACE_X_SES,56,0.001143781664567609,
25,RELIGION,15,0.007689077958033546,
25,SES,21,0.0015292407288020628,
25,SEXUAL_ORIENTATION,13,0.0041115663286631085,
26,GENDER_IDENTITY,87,0.0025610973930704694,
26,RACE_ETHNICITY,85,0.0035767737640848615,
26,RACE_X_GENDER,109,0.0028206689837216776,
26,RACE_X_SES,261,0.0016121778227526041,
27,GENDER_IDENTITY,89,0.00412119329656432,
27,RACE_ETHNICITY,88,0.005542348696580667,
27,RACE_X_GENDER,271,0.003236328325047657,
28,GENDER_IDENTITY,88,0.0019291345677941922,
28,RACE_ETHNICITY,84,0.0019633332625473457,
28,RACE_X_GENDER,54,0.006552493509722121,
29,GENDER_IDENTITY,84,0.0018134003978150404,
29,RACE_ETHNICITY,91,0.00041713315050608045,
29,RACE_X_GENDER,258,0.00893414305880966,
3,AGE,16,0.0003152222016088374,
3,DISABILITY_STATUS,27,0.0015111445263031632,
3,GENDER_IDENTITY,3,0.004177598591035725,
3,NATIONALITY,15,0.0008488201234005105,
3,PHYSICAL_APPEARANCE,35,0.0009262834942704738,
3,RACE_ETHNICITY,34,0.004663276352135447,
3,RACE_X_GENDER,113,0.0022452495740243163,
3,RACE_X_SES,212,0.0023535535942517576,
3,RELIGION,53,0.0009727656395104094,
3,SES,20,0.0007366941067453174,
3,SEXUAL_ORIENTATION,12,0.0020893101832817475,
30,GENDER_IDENTITY,87,0.0017707385308145293,
30,RACE_ETHNICITY,88,0.0018243170071345883,
30,RACE_X_GENDER,54,0.0007846140530065561,
31,GENDER_IDENTITY,85,0.0010775551666389717,
31,RACE_ETHNICITY,91,0.0013020051919594927,
31,RACE_X_GENDER,259,0.0015804309583728876,
32,GENDER_IDENTITY,81,0.0004132389623712154,
32,RACE_ETHNICITY,91,0.003320991609712897,
32,RACE_X_GENDER,111,0.0007986392270941829,
33,GENDER_IDENTITY,83,0.014448086896720561,
33,RACE_ETHNICITY,81,0.0033222453365169312,
33,RACE_X_GENDER,268,0.0025445637915912983,
34,GENDER_IDENTITY,86,0.001221374449051373,
34,RACE_ETHNICITY,89,0.016899948339519306,
34,RACE_X_GENDER,98,0.0016619897410425032,
35,GENDER_IDENTITY,86,0.004290171291108373,
35,RACE_ETHNICITY,85,0.002810038141827735,
35,RACE_X_GENDER,263,0.0014601711947122846,
36,GENDER_IDENTITY,88,0.0019055885066357674,
36,RACE_ETHNICITY,90,0.005629074582591697,
36,RACE_X_GENDER,109,0.0009777206361514376,
37,GENDER_IDENTITY,88,0.001879750618364801,
37,RACE_ETHNICITY,90,0.001832846551116035,
37,RACE_X_GENDER,260,0.0018623655337040297,
38,GENDER_IDENTITY,88,0.0037529698913318964,
38,RACE_ETHNICITY,85,0.001345781100234161,
38,RACE_X_GENDER,53,0.0043852985924435536,
39,GENDER_IDENTITY,86,0.0008981087073253845,
39,RACE_ETHNICITY,95,0.001139011573760482,
