category,AMBIG,DISAMBIG,DISAMBIG_ANTI,DISAMBIG_STEREO
AGE,0.7962293,0.79673314,0.7970436,0.7992307
DISABILITY_STATUS,0.78045285,0.7803393,0.7933757,0.79847795
GENDER_IDENTITY,0.7830805,0.78961366,0.792254,0.7970954
NATIONALITY,0.8010122,0.8041507,0.8135811,0.8225926
PHYSICAL_APPEARANCE,0.7935197,0.78937787,0.79344004,0.7982982
RACE_ETHNICITY,0.7782335,0.7794456,0.78664273,0.79248846
RACE_X_GENDER,0.78186667,0.78817636,0.7998348,0.8101052
RACE_X_SES,0.7831049,0.78803664,0.79645914,0.8052669
RELIGION,0.8092839,0.816362,0.81588507,0.82045496
SES,0.78806037,0.78969574,0.7915918,0.79724854
SEXUAL_ORIENTATION,0.81007165,0.80796844,0.8159372,0.82323205
