category,AMBIG,DISAMBIG,DISAMBIG_ANTI,DISAMBIG_STEREO
AGE,0.31963608,0.3269329,0.34368142,0.36379096
DISABILITY_STATUS,0.28480247,0.29454547,0.33242378,0.36127752
GENDER_IDENTITY,0.29511285,0.31790563,0.33555505,0.36240387
NATIONALITY,0.30434543,0.32681677,0.35987434,0.39845657
PHYSICAL_APPEARANCE,0.32625943,0.32367927,0.3456259,0.38484862
RACE_ETHNICITY,0.30053398,0.30552074,0.3356386,0.3606419
RACE_X_GENDER,0.31212163,0.33691692,0.3752572,0.41116455
RACE_X_SES,0.32477432,0.343525,0.37310356,0.40502703
RELIGION,0.33310232,0.3688448,0.370847,0.3880947
SES,0.28238595,0.2981788,0.31990492,0.35267213
SEXUAL_ORIENTATION,0.32649666,0.32587245,0.35434216,0.38669065
