model_name,category,question_polarity,context_condition_3,sim_mean,sim_std,n
Qwen/Qwen3-Embedding-4B,AGE,NEG,AMBIG,0.48487914869750753,0.06283020511039736,2760
Qwen/Qwen3-Embedding-4B,AGE,NEG,DISAMBIG_ANTI,0.4850990289795226,0.06214554973916083,1380
Qwen/Qwen3-Embedding-4B,AGE,NEG,DISAMBIG_STEREO,0.4846592659535615,0.06352925316482713,1380
Qwen/Qwen3-Embedding-4B,AGE,NONNEG,AMBIG,0.48854130859608236,0.0602967938871153,2760
Qwen/Qwen3-Embedding-4B,AGE,NONNEG,DISAMBIG_ANTI,0.4885737061716508,0.06021117083593666,1380
Qwen/Qwen3-Embedding-4B,AGE,NONNEG,DISAMBIG_STEREO,0.4885089118411576,0.06040410971978159,1380
Qwen/Qwen3-Embedding-4B,DISABILITY_STATUS,NEG,AMBIG,0.5294076933907768,0.058673293684328574,1167
Qwen/Qwen3-Embedding-4B,DISABILITY_STATUS,NEG,DISAMBIG_ANTI,0.5302575082621641,0.058177712571937434,576
Qwen/Qwen3-Embedding-4B,DISABILITY_STATUS,NEG,DISAMBIG_STEREO,0.5285794509042137,0.059189819419454275,591
Qwen/Qwen3-Embedding-4B,DISABILITY_STATUS,NONNEG,AMBIG,0.4912355392277496,0.061722299452149916,1167
Qwen/Qwen3-Embedding-4B,DISABILITY_STATUS,NONNEG,DISAMBIG_ANTI,0.49135010689496994,0.06150750090524508,576
Qwen/Qwen3-Embedding-4B,DISABILITY_STATUS,NONNEG,DISAMBIG_STEREO,0.4911238851180133,0.061982821588072036,591
Qwen/Qwen3-Embedding-4B,GENDER_IDENTITY,NEG,AMBIG,0.4851251030029912,0.05480779729014354,4254
Qwen/Qwen3-Embedding-4B,GENDER_IDENTITY,NEG,DISAMBIG,0.4964969952901204,0.004972567648892334,3
Qwen/Qwen3-Embedding-4B,GENDER_IDENTITY,NEG,DISAMBIG_ANTI,0.4853424648583775,0.054944891960479025,2130
Qwen/Qwen3-Embedding-4B,GENDER_IDENTITY,NEG,DISAMBIG_STEREO,0.4848907321536951,0.0547187668679775,2121
Qwen/Qwen3-Embedding-4B,GENDER_IDENTITY,NONNEG,AMBIG,0.4571646715084824,0.0671294209761437,4254
Qwen/Qwen3-Embedding-4B,GENDER_IDENTITY,NONNEG,DISAMBIG,0.49413416120741105,0.0514037254649837,9
Qwen/Qwen3-Embedding-4B,GENDER_IDENTITY,NONNEG,DISAMBIG_ANTI,0.45754473670447166,0.06731296855625787,2124
Qwen/Qwen3-Embedding-4B,GENDER_IDENTITY,NONNEG,DISAMBIG_STEREO,0.4566272029416958,0.06698281411146324,2121
Qwen/Qwen3-Embedding-4B,NATIONALITY,NEG,AMBIG,0.49502196357105716,0.06613393360589129,2310
Qwen/Qwen3-Embedding-4B,NATIONALITY,NEG,DISAMBIG_ANTI,0.4954073906460882,0.06599425873864465,1155
Qwen/Qwen3-Embedding-4B,NATIONALITY,NEG,DISAMBIG_STEREO,0.49463653729591534,0.06629965577997075,1155
Qwen/Qwen3-Embedding-4B,NATIONALITY,NONNEG,AMBIG,0.47726099683350814,0.06914921008270879,2310
Qwen/Qwen3-Embedding-4B,NATIONALITY,NONNEG,DISAMBIG_ANTI,0.4776015941456799,0.06890993119114479,1155
