model_name,category,question_polarity,target_position,acc_race
google/gemma-2-2b,AGE,NEG,first,0.33945945945945943
google/gemma-2-2b,AGE,NEG,second,0.32786885245901637
google/gemma-2-2b,AGE,NONNEG,first,0.3366228070175439
google/gemma-2-2b,AGE,NONNEG,second,0.3286637931034483
google/gemma-2-2b,DISABILITY_STATUS,NEG,first,0.31690140845070425
google/gemma-2-2b,DISABILITY_STATUS,NEG,second,0.2869318181818182
google/gemma-2-2b,DISABILITY_STATUS,NONNEG,first,0.39896373056994816
google/gemma-2-2b,DISABILITY_STATUS,NONNEG,second,0.28061224489795916
google/gemma-2-2b,GENDER_IDENTITY,NEG,first,0.3403819918144611
google/gemma-2-2b,GENDER_IDENTITY,NEG,second,0.3436123348017621
google/gemma-2-2b,GENDER_IDENTITY,NEG,unknown,0.375
google/gemma-2-2b,GENDER_IDENTITY,NONNEG,first,0.326417704011065
google/gemma-2-2b,GENDER_IDENTITY,NONNEG,second,0.2945007235890014
google/gemma-2-2b,GENDER_IDENTITY,NONNEG,unknown,0.25
google/gemma-2-2b,NATIONALITY,NEG,first,0.3397932816537468
google/gemma-2-2b,NATIONALITY,NEG,second,0.32114882506527415
google/gemma-2-2b,NATIONALITY,NONNEG,first,0.3486005089058524
google/gemma-2-2b,NATIONALITY,NONNEG,second,0.3222811671087533
google/gemma-2-2b,PHYSICAL_APPEARANCE,NEG,first,0.3389830508474576
google/gemma-2-2b,PHYSICAL_APPEARANCE,NEG,second,0.3271889400921659
google/gemma-2-2b,PHYSICAL_APPEARANCE,NONNEG,first,0.33147632311977715
google/gemma-2-2b,PHYSICAL_APPEARANCE,NONNEG,second,0.32400932400932403
google/gemma-2-2b,RACE_ETHNICITY,NEG,first,0.3576080521018354
google/gemma-2-2b,RACE_ETHNICITY,NEG,second,0.3432324386065106
google/gemma-2-2b,RACE_ETHNICITY,NONNEG,first,0.33979475484606614
google/gemma-2-2b,RACE_ETHNICITY,NONNEG,second,0.337485172004745
google/gemma-2-2b,RACE_X_GENDER,NEG,first,0.32820906994619525
google/gemma-2-2b,RACE_X_GENDER,NEG,second,0.33922001471670343
google/gemma-2-2b,RACE_X_GENDER,NONNEG,first,0.3322401614530777
google/gemma-2-2b,RACE_X_GENDER,NONNEG,second,0.3403884462151394
google/gemma-2-2b,RACE_X_SES,NEG,first,0.33676975945017185
google/gemma-2-2b,RACE_X_SES,NEG,second,0.3445008460236887
google/gemma-2-2b,RACE_X_SES,NEG,unknown,0.3333333333333333
google/gemma-2-2b,RACE_X_SES,NONNEG,first,0.32643253234750463
google/gemma-2-2b,RACE_X_SES,NONNEG,second,0.3304287208086441
google/gemma-2-2b,RACE_X_SES,NONNEG,unknown,0.5
google/gemma-2-2b,RELIGION,NEG,first,0.2916666666666667
google/gemma-2-2b,RELIGION,NEG,second,0.3333333333333333
google/gemma-2-2b,RELIGION,NONNEG,first,0.3137254901960784
google/gemma-2-2b,RELIGION,NONNEG,second,0.3435374149659864
google/gemma-2-2b,SES,NEG,first,0.3490011750881316
google/gemma-2-2b,SES,NEG,second,0.3321878579610538
google/gemma-2-2b,SES,NONNEG,first,0.33352735739231665
google/gemma-2-2b,SES,NONNEG,second,0.3184971098265896
google/gemma-2-2b,SEXUAL_ORIENTATION,NEG,first,0.27927927927927926
google/gemma-2-2b,SEXUAL_ORIENTATION,NEG,second,0.23809523809523808
google/gemma-2-2b,SEXUAL_ORIENTATION,NONNEG,first,0.38181818181818183
google/gemma-2-2b,SEXUAL_ORIENTATION,NONNEG,second,0.32547169811320753
microsoft/phi-4,AGE,NEG,first,0.8908108108108108
microsoft/phi-4,AGE,NEG,second,0.8655737704918033
microsoft/phi-4,AGE,NONNEG,first,0.8048245614035088
microsoft/phi-4,AGE,NONNEG,second,0.8265086206896551
microsoft/phi-4,DISABILITY_STATUS,NEG,first,0.8356807511737089
microsoft/phi-4,DISABILITY_STATUS,NEG,second,0.7386363636363636
microsoft/phi-4,DISABILITY_STATUS,NONNEG,first,0.8341968911917098
microsoft/phi-4,DISABILITY_STATUS,NONNEG,second,0.9285714285714286
microsoft/phi-4,GENDER_IDENTITY,NEG,first,0.917462482946794
microsoft/phi-4,GENDER_IDENTITY,NEG,second,0.9229074889867841
microsoft/phi-4,GENDER_IDENTITY,NEG,unknown,0.75
microsoft/phi-4,GENDER_IDENTITY,NONNEG,first,0.9031811894882434
microsoft/phi-4,GENDER_IDENTITY,NONNEG,second,0.9052098408104197
microsoft/phi-4,GENDER_IDENTITY,NONNEG,unknown,0.625
microsoft/phi-4,NATIONALITY,NEG,first,0.8281653746770026
microsoft/phi-4,NATIONALITY,NEG,second,0.8368146214099217
microsoft/phi-4,NATIONALITY,NONNEG,first,0.8536895674300254
microsoft/phi-4,NATIONALITY,NONNEG,second,0.8660477453580901
microsoft/phi-4,PHYSICAL_APPEARANCE,NEG,first,0.8361581920903954
microsoft/phi-4,PHYSICAL_APPEARANCE,NEG,second,0.804147465437788
microsoft/phi-4,PHYSICAL_APPEARANCE,NONNEG,first,0.754874651810585
microsoft/phi-4,PHYSICAL_APPEARANCE,NONNEG,second,0.8228438228438228
microsoft/phi-4,RACE_ETHNICITY,NEG,first,0.9129662522202486
microsoft/phi-4,RACE_ETHNICITY,NEG,second,0.9263278126784694
microsoft/phi-4,RACE_ETHNICITY,NONNEG,first,0.9418472063854048
microsoft/phi-4,RACE_ETHNICITY,NONNEG,second,0.9371293001186239
microsoft/phi-4,RACE_X_GENDER,NEG,first,0.9116064565718678
microsoft/phi-4,RACE_X_GENDER,NEG,second,0.9139072847682119
microsoft/phi-4,RACE_X_GENDER,NONNEG,first,0.9334006054490414
microsoft/phi-4,RACE_X_GENDER,NONNEG,second,0.9360059760956175
microsoft/phi-4,RACE_X_SES,NEG,first,0.9411989308896526
microsoft/phi-4,RACE_X_SES,NEG,second,0.937394247038917
microsoft/phi-4,RACE_X_SES,NEG,unknown,1.0
microsoft/phi-4,RACE_X_SES,NONNEG,first,0.9160813308687615
microsoft/phi-4,RACE_X_SES,NONNEG,second,0.905542000697107
microsoft/phi-4,RACE_X_SES,NONNEG,unknown,1.0
microsoft/phi-4,RELIGION,NEG,first,0.7371794871794872
microsoft/phi-4,RELIGION,NEG,second,0.7013888888888888
microsoft/phi-4,RELIGION,NONNEG,first,0.7908496732026143
microsoft/phi-4,RELIGION,NONNEG,second,0.7380952380952381
microsoft/phi-4,SES,NEG,first,0.8537015276145711
microsoft/phi-4,SES,NEG,second,0.8539518900343642
microsoft/phi-4,SES,NONNEG,first,0.8253783469150174
microsoft/phi-4,SES,NONNEG,second,0.8132947976878613
microsoft/phi-4,SEXUAL_ORIENTATION,NEG,first,0.8018018018018018
microsoft/phi-4,SEXUAL_ORIENTATION,NEG,second,0.7571428571428571
microsoft/phi-4,SEXUAL_ORIENTATION,NONNEG,first,0.7136363636363636
microsoft/phi-4,SEXUAL_ORIENTATION,NONNEG,second,0.7311320754716981
mistralai/Mistral-7B-Instruct-v0.3,AGE,NEG,first,0.6951351351351351
mistralai/Mistral-7B-Instruct-v0.3,AGE,NEG,second,0.6939890710382514
mistralai/Mistral-7B-Instruct-v0.3,AGE,NONNEG,first,0.5142543859649122
mistralai/Mistral-7B-Instruct-v0.3,AGE,NONNEG,second,0.5064655172413793
mistralai/Mistral-7B-Instruct-v0.3,DISABILITY_STATUS,NEG,first,0.6455399061032864
mistralai/Mistral-7B-Instruct-v0.3,DISABILITY_STATUS,NEG,second,0.6193181818181818
mistralai/Mistral-7B-Instruct-v0.3,DISABILITY_STATUS,NONNEG,first,0.5492227979274611
mistralai/Mistral-7B-Instruct-v0.3,DISABILITY_STATUS,NONNEG,second,0.625
mistralai/Mistral-7B-Instruct-v0.3,GENDER_IDENTITY,NEG,first,0.7482946793997272
