category,AMBIG,DISAMBIG,DISAMBIG_ANTI,DISAMBIG_STEREO
AGE,0.796229309463864,0.7967330773874205,0.7970436041310549,0.7992306824702367
DISABILITY_STATUS,0.7804528041639568,0.7803392446622616,0.7933755865686514,0.7984779511773309
GENDER_IDENTITY,0.7830804944284183,0.7896136660545398,0.7922539387233015,0.7970953893819261
NATIONALITY,0.8010121913647563,0.8041506682672809,0.8135810527758843,0.8225926032219266
PHYSICAL_APPEARANCE,0.7935196676960697,0.78937780928899,0.7934399878899433,0.7982981411247877
RACE_ETHNICITY,0.778233492927125,0.7794455358615289,0.7866427138418486,0.7924884111874932
RACE_X_GENDER,0.7818666289438138,0.7881762765771975,0.7998347805032833,0.8101051191165426
RACE_X_SES,0.7831048421783022,0.7880366176260748,0.7964591000568193,0.8052669147512145
RELIGION,0.809283881410814,0.8163619445216271,0.8158850265220857,0.8204548702790186
SES,0.788060381063796,0.7896957570559358,0.7915917938553523,0.7972484938727623
SEXUAL_ORIENTATION,0.8100715587648113,0.8079683368856256,0.8159371799510309,0.8232319795272567
