question_index,category,gain_stereo,gain_anti
1,AGE,0.07322642,0.06523603
1,DISABILITY_STATUS,0.072386,0.052219987
1,GENDER_IDENTITY,0.04512611,0.040627867
1,NATIONALITY,0.09159824,0.05697608
1,PHYSICAL_APPEARANCE,0.093655705,0.06362113
1,RACE_ETHNICITY,0.022823453,0.018438518
1,RACE_X_GENDER,0.10798912,0.052066848
1,RACE_X_SES,0.09695786,0.06182781
1,RELIGION,-0.063108146,-0.028692275
1,SES,0.17053454,0.12743713
1,SEXUAL_ORIENTATION,0.014457792,-0.029277474
10,AGE,0.036772072,0.02053982
10,DISABILITY_STATUS,0.065170884,0.043995827
10,GENDER_IDENTITY,0.076753736,0.0660561
10,NATIONALITY,0.055378586,0.016386718
10,PHYSICAL_APPEARANCE,,0.03580174
10,RACE_ETHNICITY,0.08585906,0.040088147
10,RACE_X_SES,0.08761531,0.053765327
10,RELIGION,0.06338039,0.026201189
10,SES,0.014847934,-0.026957333
10,SEXUAL_ORIENTATION,0.08192566,0.005746931
11,AGE,0.092855036,0.052128166
11,DISABILITY_STATUS,0.06433153,0.03659019
11,GENDER_IDENTITY,0.12062672,0.039364398
11,NATIONALITY,0.14242625,0.07826772
11,PHYSICAL_APPEARANCE,0.031843394,0.010956168
11,RACE_ETHNICITY,0.041740373,0.034872994
11,RACE_X_GENDER,0.1646868,0.11906284
11,RACE_X_SES,0.10028395,0.063729286
11,RELIGION,0.13593729,0.07969038
11,SES,0.13643238,0.09013042
11,SEXUAL_ORIENTATION,0.033646256,0.0094769
12,AGE,0.16002119,0.14486119
12,DISABILITY_STATUS,0.015096903,0.022860438
12,GENDER_IDENTITY,0.040530592,0.02863267
12,NATIONALITY,0.18778533,0.12725598
12,PHYSICAL_APPEARANCE,0.061420664,0.052205473
12,RACE_ETHNICITY,0.046898484,0.021979809
12,RACE_X_GENDER,0.14935118,0.09409183
12,RACE_X_SES,0.10274941,0.056146383
12,RELIGION,0.06247051,0.052195534
12,SES,0.09416726,0.058782697
12,SEXUAL_ORIENTATION,0.00695464,0.0124107
13,AGE,0.045146286,0.03336525
13,DISABILITY_STATUS,0.097284764,0.07417485
13,GENDER_IDENTITY,0.11069454,0.027977228
13,NATIONALITY,0.10046077,0.055532604
13,PHYSICAL_APPEARANCE,0.06663519,0.01135394
13,RACE_ETHNICITY,0.07197949,0.04038027
13,RACE_X_GENDER,0.05855328,0.03378269
13,RACE_X_SES,0.092339694,0.04594621
13,RELIGION,0.1520589,0.06308189
13,SES,0.00082591176,-0.0032008588
13,SEXUAL_ORIENTATION,0.0639177,0.037565112
14,AGE,0.10281594,0.071080044
14,DISABILITY_STATUS,0.043806702,0.01580143
14,GENDER_IDENTITY,0.040477857,-0.0013120472
14,NATIONALITY,0.03960517,0.025651932
14,PHYSICAL_APPEARANCE,0.011799753,0.0046215653
14,RACE_ETHNICITY,0.08052939,0.013738304
14,RACE_X_GENDER,0.08081901,0.04915893
14,RACE_X_SES,0.12902445,0.07049087
14,RELIGION,0.12646544,0.123749346
14,SES,-0.003913015,-0.0008301437
14,SEXUAL_ORIENTATION,0.11962837,0.076943874
15,AGE,-0.029891878,-0.0150951
15,DISABILITY_STATUS,0.015809476,0.009273499
15,GENDER_IDENTITY,0.05530259,0.0597713
15,NATIONALITY,0.05309686,0.03835392
15,PHYSICAL_APPEARANCE,0.06346871,0.03352125
15,RACE_ETHNICITY,0.07014865,0.051176816
15,RACE_X_GENDER,0.14611861,0.0885534
15,RACE_X_SES,0.10090655,0.060151815
15,RELIGION,0.04921785,0.042847812
15,SES,0.08728391,0.048072502
15,SEXUAL_ORIENTATION,0.07434073,0.05127272
16,AGE,0.0384641,0.0158149
16,DISABILITY_STATUS,0.12022035,0.10692753
16,GENDER_IDENTITY,0.10959506,0.061519086
16,NATIONALITY,0.025980026,0.0166879
16,PHYSICAL_APPEARANCE,0.066883385,0.037668258
16,RACE_ETHNICITY,0.09854931,0.052948147
16,RACE_X_SES,0.08647746,0.050030887
16,RELIGION,0.042192042,0.018667072
16,SES,0.17177528,0.030620635
16,SEXUAL_ORIENTATION,0.05445814,0.059621662
17,AGE,0.04589078,0.018732011
17,DISABILITY_STATUS,0.13706812,0.10490063
17,GENDER_IDENTITY,0.065476626,0.040594667
17,NATIONALITY,0.08532834,0.08727133
17,PHYSICAL_APPEARANCE,0.068722606,0.051233232
17,RACE_ETHNICITY,0.014585495,0.015797794
17,RACE_X_GENDER,0.13200375,0.07756963
17,RACE_X_SES,0.046628654,0.026337802
17,RELIGION,0.021122545,0.005187303
17,SES,0.050480336,0.016871512
17,SEXUAL_ORIENTATION,0.041422427,0.024951696
18,AGE,0.044665724,0.029411316
18,DISABILITY_STATUS,0.058457494,0.045566022
18,GENDER_IDENTITY,0.13750781,0.14768012
18,NATIONALITY,0.06802352,0.0443895
18,PHYSICAL_APPEARANCE,0.059575886,0.035749763
18,RACE_ETHNICITY,0.047418743,0.013152719
18,RACE_X_GENDER,0.13068473,0.075522095
18,RACE_X_SES,0.054170996,0.038556844
18,RELIGION,0.053895473,0.025185555
18,SES,0.08501813,0.04246807
18,SEXUAL_ORIENTATION,0.07716724,0.033608943
19,AGE,-0.006280571,-0.0023689866
19,DISABILITY_STATUS,0.073465586,
19,GENDER_IDENTITY,0.062682986,0.02618727
19,NATIONALITY,0.06289822,0.027219385
19,PHYSICAL_APPEARANCE,0.060520858,-0.05238974
19,RACE_ETHNICITY,0.07010412,0.042016447
19,RACE_X_GENDER,0.19664763,0.13165163
19,RACE_X_SES,0.040376395,0.027890682
19,RELIGION,0.08391793,0.05455245
19,SES,0.042479634,0.029947758
19,SEXUAL_ORIENTATION,0.012090266,0.011109024
2,AGE,0.081394434,0.040180176
2,DISABILITY_STATUS,0.063958496,0.036310434
2,GENDER_IDENTITY,0.032367736,0.032046765
2,NATIONALITY,0.025628,0.0082549155
2,PHYSICAL_APPEARANCE,0.060038745,0.04366058
2,RACE_ETHNICITY,0.13659726,0.119937494
2,RACE_X_GENDER,0.09778677,0.05527456
2,RACE_X_SES,0.07348025,0.044517964
2,RELIGION,-0.0020969212,-6.41942e-05
2,SES,0.054193676,0.040866673
2,SEXUAL_ORIENTATION,0.057593644,-0.029043645
20,AGE,0.08177796,0.03943494
20,DISABILITY_STATUS,0.08833355,0.08400303
20,GENDER_IDENTITY,0.09200552,0.0181745
20,NATIONALITY,0.011576116,0.0077935755
20,PHYSICAL_APPEARANCE,0.08064723,0.03183928
20,RACE_ETHNICITY,0.104536325,0.073177814
20,RACE_X_GENDER,0.17591864,0.102110505
20,RACE_X_SES,0.0295313,0.017214656
20,RELIGION,0.0913305,0.08068016
20,SES,0.11986686,0.063384786
20,SEXUAL_ORIENTATION,0.14885727,0.05303353
21,AGE,0.061795756,0.024925828
21,DISABILITY_STATUS,0.1947773,0.1242262
21,GENDER_IDENTITY,0.083152324,0.06745133
21,NATIONALITY,0.16054034,0.06739652
21,PHYSICAL_APPEARANCE,0.009186178,-0.001188308
21,RACE_ETHNICITY,0.03353849,0.027809054
21,RACE_X_GENDER,0.13427696,0.1021792
21,RACE_X_SES,0.074849695,0.0561814
21,RELIGION,0.11587298,0.047277182
21,SES,0.078986585,0.043214858
21,SEXUAL_ORIENTATION,0.10804793,0.07416235
22,AGE,0.011490434,0.0073880255
22,DISABILITY_STATUS,0.12363976,0.050020516
22,GENDER_IDENTITY,0.05104044,0.05225566
22,NATIONALITY,0.12233618,0.07968229
22,PHYSICAL_APPEARANCE,0.0885071,0.08997576
22,RACE_ETHNICITY,0.09787589,0.034687072
22,RACE_X_GENDER,0.062305003,0.033816487
22,RACE_X_SES,0.0756326,0.041831642
22,RELIGION,-0.020335913,-0.020117462
22,SES,0.048232585,0.031110585
22,SEXUAL_ORIENTATION,0.082606226,0.029592395
23,AGE,0.052461177,0.03430009
23,DISABILITY_STATUS,0.10418609,0.09837872
23,GENDER_IDENTITY,-0.012846768,-0.0030978918
23,NATIONALITY,0.1729596,0.08763519
23,PHYSICAL_APPEARANCE,0.053702116,0.03241688
23,RACE_ETHNICITY,0.096140504,0.07842073
23,RACE_X_GENDER,0.06026587,0.03042531
23,RACE_X_SES,0.06959504,0.054872096
23,RELIGION,0.039353937,0.024157137
23,SES,0.102914155,0.06724122
23,SEXUAL_ORIENTATION,0.09818414,0.04127428
24,AGE,-0.025233775,-0.021212757
24,DISABILITY_STATUS,0.03394091,-0.024631768
24,GENDER_IDENTITY,0.053766355,0.053336337
24,NATIONALITY,0.18875547,0.14623164
24,PHYSICAL_APPEARANCE,0.038276076,0.027239203
24,RACE_ETHNICITY,0.051416278,0.037053347
24,RACE_X_GENDER,0.06300926,0.034886003
24,RACE_X_SES,0.09154269,0.056153536
24,RELIGION,0.040783793,0.014466539
24,SES,0.079913795,0.044891775
24,SEXUAL_ORIENTATION,0.13650042,0.13798213
25,AGE,0.030554771,0.01504311
25,DISABILITY_STATUS,0.076225966,0.046207875
25,GENDER_IDENTITY,0.0014836192,-0.0057343543
25,NATIONALITY,-0.018147886,-0.015400976
25,PHYSICAL_APPEARANCE,0.11090398,0.052016914
25,RACE_ETHNICITY,0.0787524,0.040888906
25,RACE_X_GENDER,0.080406904,0.053783834
25,RACE_X_SES,0.067738235,0.053218603
25,RELIGION,0.087688535,0.022479385
25,SES,0.035320133,0.026624262
25,SEXUAL_ORIENTATION,0.11146456,0.04446155
26,GENDER_IDENTITY,0.03542757,0.01923287
26,RACE_ETHNICITY,0.01470086,0.007407576
26,RACE_X_GENDER,0.06099221,0.04495588
26,RACE_X_SES,0.070444316,0.042363673
27,GENDER_IDENTITY,0.046052366,0.037136763
27,RACE_ETHNICITY,0.0972043,0.057169706
27,RACE_X_GENDER,0.06524384,0.046124905
28,GENDER_IDENTITY,0.15135796,0.09880583
28,RACE_ETHNICITY,-0.0063593984,-0.0033158362
28,RACE_X_GENDER,0.16299325,0.11457956
29,GENDER_IDENTITY,0.06763083,0.03540659
29,RACE_ETHNICITY,-0.013985068,-0.009126961
29,RACE_X_GENDER,0.13841632,0.07885584
3,AGE,0.17996562,0.17559525
3,DISABILITY_STATUS,0.08542344,0.03176698
3,GENDER_IDENTITY,0.113814116,0.03793657
