model_name,category,question_polarity,acc_arc,acc_race
google/gemma-2-2b,AGE,NEG,0.33206521739130435,0.33369565217391306
google/gemma-2-2b,AGE,NONNEG,0.3282608695652174,0.33260869565217394
google/gemma-2-2b,DISABILITY_STATUS,NEG,0.30848329048843187,0.3033419023136247
google/gemma-2-2b,DISABILITY_STATUS,NONNEG,0.33676092544987146,0.3393316195372751
google/gemma-2-2b,GENDER_IDENTITY,NEG,0.33638928067700985,0.34203102961918197
google/gemma-2-2b,GENDER_IDENTITY,NONNEG,0.3236953455571227,0.3106488011283498
google/gemma-2-2b,NATIONALITY,NEG,0.32402597402597405,0.33051948051948055
google/gemma-2-2b,NATIONALITY,NONNEG,0.32857142857142857,0.3357142857142857
google/gemma-2-2b,PHYSICAL_APPEARANCE,NEG,0.33248730964467005,0.33248730964467005
google/gemma-2-2b,PHYSICAL_APPEARANCE,NONNEG,0.30583756345177665,0.32741116751269034
google/gemma-2-2b,RACE_ETHNICITY,NEG,0.3276162790697674,0.3502906976744186
google/gemma-2-2b,RACE_ETHNICITY,NONNEG,0.32790697674418606,0.3386627906976744
google/gemma-2-2b,RACE_X_GENDER,NEG,0.32493734335839597,0.33383458646616543
google/gemma-2-2b,RACE_X_GENDER,NONNEG,0.3236842105263158,0.33634085213032583
google/gemma-2-2b,RACE_X_SES,NEG,0.33297491039426524,0.34086021505376346
google/gemma-2-2b,RACE_X_SES,NONNEG,0.3218637992831541,0.328673835125448
google/gemma-2-2b,RELIGION,NEG,0.31166666666666665,0.31166666666666665
google/gemma-2-2b,RELIGION,NONNEG,0.33,0.3283333333333333
google/gemma-2-2b,SES,NEG,0.3138051044083527,0.3404872389791183
google/gemma-2-2b,SES,NONNEG,0.3004640371229698,0.3259860788863109
google/gemma-2-2b,SEXUAL_ORIENTATION,NEG,0.30787037037037035,0.25925925925925924
google/gemma-2-2b,SEXUAL_ORIENTATION,NONNEG,0.34953703703703703,0.3541666666666667
microsoft/phi-4,AGE,NEG,0.4320652173913043,0.8782608695652174
microsoft/phi-4,AGE,NONNEG,0.4152173913043478,0.8157608695652174
microsoft/phi-4,DISABILITY_STATUS,NEG,0.40616966580976865,0.7917737789203085
microsoft/phi-4,DISABILITY_STATUS,NONNEG,0.42287917737789205,0.8817480719794345
microsoft/phi-4,GENDER_IDENTITY,NEG,0.4513399153737659,0.919605077574048
microsoft/phi-4,GENDER_IDENTITY,NONNEG,0.4432299012693935,0.9033850493653033
microsoft/phi-4,NATIONALITY,NEG,0.4603896103896104,0.8324675324675325
microsoft/phi-4,NATIONALITY,NONNEG,0.4487012987012987,0.8597402597402597
microsoft/phi-4,PHYSICAL_APPEARANCE,NEG,0.4479695431472081,0.8185279187817259
microsoft/phi-4,PHYSICAL_APPEARANCE,NONNEG,0.4479695431472081,0.7918781725888325
microsoft/phi-4,RACE_ETHNICITY,NEG,0.45,0.9197674418604651
microsoft/phi-4,RACE_ETHNICITY,NONNEG,0.46017441860465114,0.9395348837209302
microsoft/phi-4,RACE_X_GENDER,NEG,0.4568922305764411,0.912781954887218
microsoft/phi-4,RACE_X_GENDER,NONNEG,0.46441102756892233,0.9347117794486216
microsoft/phi-4,RACE_X_SES,NEG,0.45304659498207883,0.939247311827957
microsoft/phi-4,RACE_X_SES,NONNEG,0.45232974910394264,0.910752688172043
microsoft/phi-4,RELIGION,NEG,0.3566666666666667,0.72
microsoft/phi-4,RELIGION,NONNEG,0.42,0.765
microsoft/phi-4,SES,NEG,0.45678654292343385,0.8538283062645011
microsoft/phi-4,SES,NONNEG,0.447215777262181,0.8193155452436195
microsoft/phi-4,SEXUAL_ORIENTATION,NEG,0.38657407407407407,0.7800925925925926
microsoft/phi-4,SEXUAL_ORIENTATION,NONNEG,0.4050925925925926,0.7222222222222222
mistralai/Mistral-7B-Instruct-v0.3,AGE,NEG,0.3804347826086957,0.6945652173913044
mistralai/Mistral-7B-Instruct-v0.3,AGE,NONNEG,0.3983695652173913,0.5103260869565217
mistralai/Mistral-7B-Instruct-v0.3,DISABILITY_STATUS,NEG,0.41645244215938304,0.6336760925449871
mistralai/Mistral-7B-Instruct-v0.3,DISABILITY_STATUS,NONNEG,0.37789203084832906,0.5874035989717223
mistralai/Mistral-7B-Instruct-v0.3,GENDER_IDENTITY,NEG,0.4284203102961918,0.7387165021156559
mistralai/Mistral-7B-Instruct-v0.3,GENDER_IDENTITY,NONNEG,0.40091678420310295,0.5860366713681241
mistralai/Mistral-7B-Instruct-v0.3,NATIONALITY,NEG,0.4344155844155844,0.7064935064935065
mistralai/Mistral-7B-Instruct-v0.3,NATIONALITY,NONNEG,0.42337662337662335,0.6896103896103896
mistralai/Mistral-7B-Instruct-v0.3,PHYSICAL_APPEARANCE,NEG,0.4467005076142132,0.6713197969543148
mistralai/Mistral-7B-Instruct-v0.3,PHYSICAL_APPEARANCE,NONNEG,0.4073604060913706,0.6395939086294417
mistralai/Mistral-7B-Instruct-v0.3,RACE_ETHNICITY,NEG,0.436046511627907,0.7619186046511628
mistralai/Mistral-7B-Instruct-v0.3,RACE_ETHNICITY,NONNEG,0.3936046511627907,0.6529069767441861
mistralai/Mistral-7B-Instruct-v0.3,RACE_X_GENDER,NEG,0.44912280701754387,0.7922305764411027
mistralai/Mistral-7B-Instruct-v0.3,RACE_X_GENDER,NONNEG,0.42355889724310775,0.6948621553884712
mistralai/Mistral-7B-Instruct-v0.3,RACE_X_SES,NEG,0.4485663082437276,0.7661290322580645
mistralai/Mistral-7B-Instruct-v0.3,RACE_X_SES,NONNEG,0.42078853046594983,0.646774193548387
mistralai/Mistral-7B-Instruct-v0.3,RELIGION,NEG,0.43333333333333335,0.6566666666666666
mistralai/Mistral-7B-Instruct-v0.3,RELIGION,NONNEG,0.41333333333333333,0.5883333333333334
mistralai/Mistral-7B-Instruct-v0.3,SES,NEG,0.4475058004640371,0.7926334106728539
mistralai/Mistral-7B-Instruct-v0.3,SES,NONNEG,0.4008120649651972,0.7082366589327146
mistralai/Mistral-7B-Instruct-v0.3,SEXUAL_ORIENTATION,NEG,0.46064814814814814,0.6226851851851852
mistralai/Mistral-7B-Instruct-v0.3,SEXUAL_ORIENTATION,NONNEG,0.3912037037037037,0.5347222222222222
