model_name,category,question_polarity,context_condition_3,sim_mean,sim_std,n
Qwen/Qwen3-Embedding-4B,AGE,NEG,AMBIG,0.5578564112709052,0.09500206609357943,2760
Qwen/Qwen3-Embedding-4B,AGE,NEG,DISAMBIG_ANTI,0.6091838144305823,0.09368937026803043,1380
Qwen/Qwen3-Embedding-4B,AGE,NEG,DISAMBIG_STEREO,0.610355586439803,0.09299299346172801,1380
Qwen/Qwen3-Embedding-4B,AGE,NONNEG,AMBIG,0.5534022934734821,0.08768456217020723,2760
Qwen/Qwen3-Embedding-4B,AGE,NONNEG,DISAMBIG_ANTI,0.5916590217662894,0.08233623035634453,1380
Qwen/Qwen3-Embedding-4B,AGE,NONNEG,DISAMBIG_STEREO,0.5917873890287634,0.08138247720652508,1380
Qwen/Qwen3-Embedding-4B,DISABILITY_STATUS,NEG,AMBIG,0.5357318180896526,0.07685075833809032,1167
Qwen/Qwen3-Embedding-4B,DISABILITY_STATUS,NEG,DISAMBIG_ANTI,0.6030170785573622,0.07518246000345727,576
Qwen/Qwen3-Embedding-4B,DISABILITY_STATUS,NEG,DISAMBIG_STEREO,0.6044659666502737,0.07476701975962426,591
Qwen/Qwen3-Embedding-4B,DISABILITY_STATUS,NONNEG,AMBIG,0.5280250273357626,0.0825833815871989,1167
Qwen/Qwen3-Embedding-4B,DISABILITY_STATUS,NONNEG,DISAMBIG_ANTI,0.5789432613593009,0.08154728712938872,576
Qwen/Qwen3-Embedding-4B,DISABILITY_STATUS,NONNEG,DISAMBIG_STEREO,0.5773536884139233,0.08132757048165162,591
Qwen/Qwen3-Embedding-4B,GENDER_IDENTITY,NEG,AMBIG,0.5418612838113706,0.07583524283223265,4254
Qwen/Qwen3-Embedding-4B,GENDER_IDENTITY,NEG,DISAMBIG,0.5732660094896952,0.0395692941789846,3
Qwen/Qwen3-Embedding-4B,GENDER_IDENTITY,NEG,DISAMBIG_ANTI,0.6104210809362887,0.07111685392255222,2130
