question_index,category,n_amb,volatility_var,disagreement_rate
1,AGE,15,8.545975e-05,
1,DISABILITY_STATUS,22,1.897772e-05,
1,GENDER_IDENTITY,4,0.0023987112,
1,NATIONALITY,18,0.00015035117,
1,PHYSICAL_APPEARANCE,31,0.00055076246,
1,RACE_ETHNICITY,73,0.00023019081,
1,RACE_X_GENDER,101,0.00014934358,
1,RACE_X_SES,215,0.00037858667,
1,RELIGION,17,0.0020598855,
1,SES,22,0.00032691384,
1,SEXUAL_ORIENTATION,11,6.0623737e-05,
10,AGE,68,5.0540988e-05,
10,DISABILITY_STATUS,52,0.00021240053,
10,GENDER_IDENTITY,32,9.354679e-05,
10,NATIONALITY,49,0.00042103816,
10,PHYSICAL_APPEARANCE,32,7.8342746e-05,
10,RACE_ETHNICITY,16,0.00010947479,
10,RACE_X_SES,260,0.0023996823,
10,RELIGION,17,0.00029952807,
10,SES,29,1.40980355e-05,
10,SEXUAL_ORIENTATION,12,0.00062390784,
11,AGE,42,6.481488e-05,
11,DISABILITY_STATUS,32,0.00021463145,
11,GENDER_IDENTITY,27,0.00044156855,
11,NATIONALITY,85,0.00049630005,
11,PHYSICAL_APPEARANCE,31,4.053303e-05,
11,RACE_ETHNICITY,18,0.0017248808,
11,RACE_X_GENDER,108,0.00025375595,
11,RACE_X_SES,53,0.00024116223,
11,RELIGION,18,0.00014444931,
11,SES,211,0.000319412,
11,SEXUAL_ORIENTATION,19,1.579028e-05,
12,AGE,46,2.9166475e-05,
12,DISABILITY_STATUS,54,0.0003583893,
12,GENDER_IDENTITY,29,3.989754e-05,
12,NATIONALITY,90,0.00044084873,
12,PHYSICAL_APPEARANCE,43,7.680114e-05,
12,RACE_ETHNICITY,18,0.0013218116,
12,RACE_X_GENDER,264,0.00037836505,
12,RACE_X_SES,257,0.0004848547,
12,RELIGION,19,0.00014492904,
12,SES,210,0.00031398778,
12,SEXUAL_ORIENTATION,14,0.00020821157,
13,AGE,34,9.528301e-06,
13,DISABILITY_STATUS,33,0.00010046838,
13,GENDER_IDENTITY,16,0.0004899939,
13,NATIONALITY,88,0.00043910462,
13,PHYSICAL_APPEARANCE,35,0.0007639051,
13,RACE_ETHNICITY,34,0.0003721318,
13,RACE_X_GENDER,102,6.085174e-05,
13,RACE_X_SES,49,0.0003456953,
13,RELIGION,17,0.0006589011,
13,SES,213,4.8051203e-05,
13,SEXUAL_ORIENTATION,14,4.1857988e-05,
14,AGE,56,4.5743793e-05,
14,DISABILITY_STATUS,26,0.000246778,
14,GENDER_IDENTITY,3,0.0010249442,
14,NATIONALITY,17,0.00022829676,
14,PHYSICAL_APPEARANCE,51,4.8568127e-05,
14,RACE_ETHNICITY,31,0.00017144941,
14,RACE_X_GENDER,262,0.000118869444,
14,RACE_X_SES,254,0.00028762597,
14,RELIGION,20,0.00032216447,
14,SES,203,0.00019017616,
14,SEXUAL_ORIENTATION,14,0.00027362708,
15,AGE,31,2.694283e-05,
15,DISABILITY_STATUS,14,7.606569e-05,
15,GENDER_IDENTITY,4,6.7224806e-05,
15,NATIONALITY,91,1.6697377e-05,
15,PHYSICAL_APPEARANCE,29,8.7779554e-05,
15,RACE_ETHNICITY,19,0.00030829207,
15,RACE_X_GENDER,50,0.00066526234,
15,RACE_X_SES,104,0.0003479324,
15,RELIGION,18,0.00011140445,
15,SES,205,0.0003753379,
15,SEXUAL_ORIENTATION,14,0.00024283654,
16,AGE,81,7.180447e-05,
16,DISABILITY_STATUS,22,0.00029863717,
16,GENDER_IDENTITY,56,7.299932e-05,
16,NATIONALITY,18,5.6028603e-05,
16,PHYSICAL_APPEARANCE,31,0.00011484003,
16,RACE_ETHNICITY,34,8.682785e-05,
16,RACE_X_SES,256,0.00024435326,
16,RELIGION,17,0.0004058302,
16,SES,19,0.0009770953,
16,SEXUAL_ORIENTATION,15,0.00019071963,
17,AGE,37,5.331116e-05,
17,DISABILITY_STATUS,32,0.00055630156,
17,GENDER_IDENTITY,53,0.00011774144,
17,NATIONALITY,20,0.00051329,
17,PHYSICAL_APPEARANCE,15,3.9503077e-05,
17,RACE_ETHNICITY,34,0.00024673392,
17,RACE_X_GENDER,105,0.0007108298,
17,RACE_X_SES,103,0.00016815866,
17,RELIGION,15,0.00024441603,
17,SES,20,8.0203085e-05,
17,SEXUAL_ORIENTATION,14,0.00027349556,
18,AGE,86,0.0003326975,
18,DISABILITY_STATUS,21,0.0003210257,
18,GENDER_IDENTITY,4,1.2103487e-05,
18,NATIONALITY,16,0.0007025723,
18,PHYSICAL_APPEARANCE,14,6.4239466e-05,
18,RACE_ETHNICITY,32,8.1780025e-05,
18,RACE_X_GENDER,254,0.0012729635,
18,RACE_X_SES,266,8.4233914e-05,
18,RELIGION,16,0.00035442246,
18,SES,20,0.00010620032,
18,SEXUAL_ORIENTATION,13,0.00023768889,
19,AGE,127,5.0553586e-05,
19,DISABILITY_STATUS,4,3.072148e-05,
19,GENDER_IDENTITY,6,0.0012741218,
19,NATIONALITY,82,0.0002062065,
19,PHYSICAL_APPEARANCE,10,0.00027908766,
19,RACE_ETHNICITY,86,0.00043489053,
19,RACE_X_GENDER,106,0.0004226684,
19,RACE_X_SES,107,6.051728e-05,
19,RELIGION,54,0.0003193698,
19,SES,210,0.00020780353,
19,SEXUAL_ORIENTATION,15,8.447107e-05,
2,AGE,13,0.00021856742,
2,DISABILITY_STATUS,106,8.8943016e-05,
2,GENDER_IDENTITY,3,0.0011414394,
2,NATIONALITY,16,0.000856397,
2,PHYSICAL_APPEARANCE,32,9.558143e-05,
2,RACE_ETHNICITY,38,0.00017876516,
2,RACE_X_GENDER,253,0.0002998381,
2,RACE_X_SES,262,0.00020336482,
2,RELIGION,17,0.0002837527,
2,SES,22,0.00030656758,
2,SEXUAL_ORIENTATION,11,0.00042715474,
20,AGE,67,0.0005271541,
20,DISABILITY_STATUS,23,9.6075615e-05,
20,GENDER_IDENTITY,3,0.0022640985,
20,NATIONALITY,19,0.0008904994,
20,PHYSICAL_APPEARANCE,13,5.418753e-05,
20,RACE_ETHNICITY,34,0.00059637375,
20,RACE_X_GENDER,253,0.00063273625,
20,RACE_X_SES,263,6.208474e-05,
20,RELIGION,19,0.0015346281,
20,SES,208,6.8203204e-05,
20,SEXUAL_ORIENTATION,13,0.00082825497,
21,AGE,113,0.00048483463,
21,DISABILITY_STATUS,22,0.00031295628,
21,GENDER_IDENTITY,4,8.893468e-05,
21,NATIONALITY,49,0.0006925449,
21,PHYSICAL_APPEARANCE,6,0.000100564954,
21,RACE_ETHNICITY,37,0.00015844617,
21,RACE_X_GENDER,109,0.00020079488,
21,RACE_X_SES,55,0.00016905386,
21,RELIGION,15,0.0005815503,
21,SES,205,0.0006972618,
21,SEXUAL_ORIENTATION,22,4.7586178e-05,
22,AGE,113,0.00012236499,
22,DISABILITY_STATUS,13,0.0005473113,
22,GENDER_IDENTITY,4,4.7954613e-06,
22,NATIONALITY,90,0.000247308,
22,PHYSICAL_APPEARANCE,24,4.094274e-05,
22,RACE_ETHNICITY,32,0.00031131905,
22,RACE_X_GENDER,103,0.00013761551,
22,RACE_X_SES,256,0.00030482336,
22,RELIGION,19,0.00038213507,
22,SES,209,6.9961694e-05,
22,SEXUAL_ORIENTATION,19,0.00024014033,
23,AGE,145,9.702881e-05,
23,DISABILITY_STATUS,15,0.00047085804,
23,GENDER_IDENTITY,3,0.00011714156,
23,NATIONALITY,84,0.0003342231,
23,PHYSICAL_APPEARANCE,14,1.7011047e-05,
23,RACE_ETHNICITY,38,0.00022803347,
23,RACE_X_GENDER,252,0.0004028254,
23,RACE_X_SES,52,0.0006277072,
23,RELIGION,18,0.00012363399,
23,SES,211,0.00014571335,
23,SEXUAL_ORIENTATION,12,0.00011048888,
24,AGE,72,1.1929734e-05,
24,DISABILITY_STATUS,5,0.00021129914,
24,GENDER_IDENTITY,4,0.00019335677,
24,NATIONALITY,92,0.0006185459,
24,PHYSICAL_APPEARANCE,15,1.6928016e-05,
24,RACE_ETHNICITY,17,0.0016518806,
24,RACE_X_GENDER,105,0.00026941186,
24,RACE_X_SES,260,0.00053799176,
24,RELIGION,18,0.00016429188,
24,SES,21,0.00022501995,
24,SEXUAL_ORIENTATION,16,7.438688e-05,
25,AGE,145,0.00039918564,
25,DISABILITY_STATUS,22,0.00023267085,
25,GENDER_IDENTITY,4,0.00042712348,
25,NATIONALITY,19,9.465804e-05,
25,PHYSICAL_APPEARANCE,29,0.00028069093,
25,RACE_ETHNICITY,34,1.6649119e-05,
25,RACE_X_GENDER,264,0.00034651128,
25,RACE_X_SES,56,0.0003578611,
25,RELIGION,15,0.00068998913,
25,SES,21,6.938082e-05,
25,SEXUAL_ORIENTATION,13,0.00047116823,
26,GENDER_IDENTITY,87,0.0022572943,
26,RACE_ETHNICITY,85,0.00012905747,
26,RACE_X_GENDER,109,6.87776e-05,
