category,AMBIG,DISAMBIG,DISAMBIG_ANTI,DISAMBIG_STEREO
AGE,0.31963608,0.3269329,0.34368142,0.363791
DISABILITY_STATUS,0.2848025,0.29454553,0.3324238,0.36127755
GENDER_IDENTITY,0.29511288,0.31790563,0.33555505,0.3624039
NATIONALITY,0.30434543,0.32681677,0.35987434,0.39845657
PHYSICAL_APPEARANCE,0.32625946,0.3236793,0.34562594,0.38484868
RACE_ETHNICITY,0.30053398,0.3055208,0.33563864,0.3606419
RACE_X_GENDER,0.31212166,0.33691692,0.37525722,0.41116458
RACE_X_SES,0.32477432,0.34352502,0.37310362,0.40502703
RELIGION,0.33310235,0.36884484,0.37084702,0.38809475
SES,0.28238595,0.29817882,0.31990495,0.35267216
SEXUAL_ORIENTATION,0.3264967,0.32587242,0.35434216,0.38669065
