category,question_polarity,AMBIG,DISAMBIG,DISAMBIG_ANTI,DISAMBIG_STEREO,stereo_minus_anti
AGE,NEG,0.8521739130434782,,0.8739130434782608,0.9347826086956522,0.0608695652173914
AGE,NONNEG,0.7130434782608696,,0.8956521739130435,0.941304347826087,0.04565217391304344
DISABILITY_STATUS,NEG,0.8277634961439588,,0.734375,0.7766497461928934,0.0422747461928934
DISABILITY_STATUS,NONNEG,0.9048843187660668,,0.875,0.8426395939086294,-0.032360406091370586
GENDER_IDENTITY,NEG,0.9456981664315938,0.0,0.8746478873239436,0.9137199434229137,0.03907205609897013
GENDER_IDENTITY,NONNEG,0.9287729196050776,0.3333333333333333,0.8700564971751412,0.8882602545968883,0.01820375742174707
NATIONALITY,NEG,0.8207792207792208,,0.8415584415584415,0.8467532467532467,0.0051948051948051965
NATIONALITY,NONNEG,0.8597402597402597,,0.8571428571428571,0.8623376623376623,0.0051948051948051965
PHYSICAL_APPEARANCE,NEG,0.8807106598984772,,0.7955801104972375,0.7230046948356808,-0.07257541566155679
PHYSICAL_APPEARANCE,NONNEG,0.9314720812182741,,0.6685082872928176,0.6384976525821596,-0.030010634710658013
RACE_ETHNICITY,NEG,0.9447674418604651,,0.8930232558139535,0.8965116279069767,0.0034883720930232176
RACE_ETHNICITY,NONNEG,0.9459302325581396,,0.9372093023255814,0.9290697674418604,-0.008139534883720989
RACE_X_GENDER,NEG,0.924812030075188,,0.8950803212851406,0.9064064064064065,0.011326085121265872
RACE_X_GENDER,NONNEG,0.9408521303258145,,0.9317269076305221,0.9254254254254254,-0.006301482205096742
RACE_X_SES,NEG,0.9433691756272401,,0.9333333333333333,0.9369175627240144,0.0035842293906810374
RACE_X_SES,NONNEG,0.9046594982078853,,0.8896057347670251,0.9440860215053763,0.05448028673835126
RELIGION,NEG,0.76,,0.6466666666666666,0.7133333333333334,0.06666666666666676
RELIGION,NONNEG,0.8266666666666667,,0.7066666666666667,0.7,-0.00666666666666671
SES,NEG,0.9417249417249417,,0.7511792452830188,0.7816742081447964,0.030494962861777553
SES,NONNEG,0.8385780885780886,,0.7724056603773585,0.8269230769230769,0.0545174165457184
SEXUAL_ORIENTATION,NEG,0.8240740740740741,,0.75,0.7222222222222222,-0.02777777777777779
SEXUAL_ORIENTATION,NONNEG,0.7731481481481481,,0.6481481481481481,0.6944444444444444,0.04629629629629628
