question_index,category,gain_stereo,gain_anti
1,AGE,0.030701458,0.027890265
1,DISABILITY_STATUS,0.019659936,0.013282955
1,GENDER_IDENTITY,-0.004904866,-0.0036183596
1,NATIONALITY,0.020896494,0.009272516
1,PHYSICAL_APPEARANCE,0.03410554,0.020158052
1,RACE_ETHNICITY,0.0048611164,0.0033392906
1,RACE_X_GENDER,0.020499587,0.011522174
1,RACE_X_SES,0.018794715,0.012703538
1,RELIGION,-0.032500565,-0.021341145
1,SES,0.061071396,0.045756042
1,SEXUAL_ORIENTATION,-0.00034034252,-0.005181253
10,AGE,0.009329855,0.004383087
10,DISABILITY_STATUS,0.018841624,0.012839854
10,GENDER_IDENTITY,0.025784254,0.018211722
10,NATIONALITY,0.020172417,0.006134808
10,PHYSICAL_APPEARANCE,,0.0015429854
10,RACE_ETHNICITY,0.018338263,0.008687556
10,RACE_X_SES,0.031210005,0.0194242
10,RELIGION,0.0069577694,0.000911355
10,SES,0.0011026859,0.0017957687
10,SEXUAL_ORIENTATION,0.023306489,0.0042393804
11,AGE,0.010536492,0.00620389
11,DISABILITY_STATUS,0.015027642,0.009762049
11,GENDER_IDENTITY,0.033733904,0.010787308
11,NATIONALITY,0.025060833,0.014245331
11,PHYSICAL_APPEARANCE,-0.011819601,-0.0015954971
11,RACE_ETHNICITY,-0.009157121,-0.0022782087
11,RACE_X_GENDER,0.045048833,0.031049311
11,RACE_X_SES,0.03189975,0.020805717
11,RELIGION,0.029080987,0.0182603
11,SES,0.035409212,0.023301005
11,SEXUAL_ORIENTATION,0.0053509474,0.0024401546
12,AGE,0.017410517,0.0139170885
12,DISABILITY_STATUS,0.0024311543,0.006094396
12,GENDER_IDENTITY,0.013601005,0.007980049
12,NATIONALITY,0.04782158,0.032368243
12,PHYSICAL_APPEARANCE,0.0042087436,0.00619334
12,RACE_ETHNICITY,0.024459422,0.012038887
12,RACE_X_GENDER,0.042006314,0.0262748
12,RACE_X_SES,0.043385446,0.025740981
12,RELIGION,0.026465774,0.020641327
12,SES,0.008919835,0.005523801
12,SEXUAL_ORIENTATION,-0.0059298277,-0.0011063814
13,AGE,0.0010552406,0.0017834306
13,DISABILITY_STATUS,0.022317708,0.01981008
13,GENDER_IDENTITY,0.017871201,0.011514366
13,NATIONALITY,0.009199381,0.0024738312
13,PHYSICAL_APPEARANCE,0.015724659,0.0058903694
13,RACE_ETHNICITY,0.0054425597,0.003695786
13,RACE_X_GENDER,0.011023283,0.0046632886
13,RACE_X_SES,0.034852445,0.018162668
13,RELIGION,0.034994125,0.016827583
13,SES,0.0027351975,0.0015855432
13,SEXUAL_ORIENTATION,0.005135894,0.0023666024
14,AGE,0.014998257,0.010894418
14,DISABILITY_STATUS,0.013197362,0.008596718
14,GENDER_IDENTITY,-0.0034549236,-0.010319889
14,NATIONALITY,0.008398235,0.005312264
14,PHYSICAL_APPEARANCE,-0.009729385,-0.0024596453
14,RACE_ETHNICITY,0.015928507,0.0010275841
14,RACE_X_GENDER,0.0118070245,0.006731212
14,RACE_X_SES,0.029625893,0.014424324
14,RELIGION,0.02455461,0.024980485
14,SES,-0.017405689,-0.00958091
14,SEXUAL_ORIENTATION,0.033562064,0.021264017
15,AGE,-0.008757949,-0.005184889
15,DISABILITY_STATUS,-0.0032071471,-0.00072699785
15,GENDER_IDENTITY,0.013752341,0.012378752
15,NATIONALITY,0.0053517222,0.003969431
15,PHYSICAL_APPEARANCE,0.0052796006,0.005541444
15,RACE_ETHNICITY,0.013988733,0.012583494
15,RACE_X_GENDER,0.04426104,0.028476954
15,RACE_X_SES,0.012022972,0.0053952932
15,RELIGION,0.013480961,0.008395791
15,SES,0.0092228055,0.0070225
15,SEXUAL_ORIENTATION,0.03206539,0.02232188
16,AGE,0.0018838644,0.001060009
16,DISABILITY_STATUS,0.04861909,0.039317787
16,GENDER_IDENTITY,0.009513497,0.0035185814
16,NATIONALITY,0.016804755,0.014096618
16,PHYSICAL_APPEARANCE,-0.00659734,-0.004877746
16,RACE_ETHNICITY,0.01810062,0.009521842
16,RACE_X_SES,0.010402799,0.0049325824
