question_index,category,n_amb,volatility_var,disagreement_rate
1,AGE,15,0.0005322278,
1,DISABILITY_STATUS,22,0.00029028434,
1,GENDER_IDENTITY,4,0.008218927,
1,NATIONALITY,18,0.0016639341,
1,PHYSICAL_APPEARANCE,31,0.0041965316,
1,RACE_ETHNICITY,73,0.0013376926,
1,RACE_X_GENDER,101,0.0026720904,
1,RACE_X_SES,215,0.0018081181,
1,RELIGION,17,0.009452544,
1,SES,22,0.0039367625,
1,SEXUAL_ORIENTATION,11,0.0047786785,
10,AGE,68,0.00059194054,
10,DISABILITY_STATUS,52,0.0012078559,
10,GENDER_IDENTITY,32,0.0021675632,
10,NATIONALITY,49,0.0037635972,
10,PHYSICAL_APPEARANCE,32,0.0005972884,
10,RACE_ETHNICITY,16,0.0030475224,
10,RACE_X_SES,260,0.011056623,
10,RELIGION,17,0.0039953124,
10,SES,29,0.002277719,
10,SEXUAL_ORIENTATION,12,0.007968052,
11,AGE,42,0.0016542745,
11,DISABILITY_STATUS,32,0.0007558171,
11,GENDER_IDENTITY,27,0.0048437417,
11,NATIONALITY,85,0.0051162266,
11,PHYSICAL_APPEARANCE,31,0.0020409357,
11,RACE_ETHNICITY,18,0.0034515576,
11,RACE_X_GENDER,108,0.003124361,
11,RACE_X_SES,53,0.0015889375,
11,RELIGION,18,0.005375384,
11,SES,211,0.004786946,
11,SEXUAL_ORIENTATION,19,0.00081502297,
12,AGE,46,0.0019070109,
12,DISABILITY_STATUS,54,0.0010265992,
12,GENDER_IDENTITY,29,0.00091094093,
12,NATIONALITY,90,0.0050463546,
12,PHYSICAL_APPEARANCE,43,0.0004186762,
12,RACE_ETHNICITY,18,0.016953127,
12,RACE_X_GENDER,264,0.003510254,
12,RACE_X_SES,257,0.002469423,
12,RELIGION,19,0.0019306873,
12,SES,210,0.0015623125,
12,SEXUAL_ORIENTATION,14,0.0007728321,
13,AGE,34,9.433933e-05,
13,DISABILITY_STATUS,33,0.0011084653,
13,GENDER_IDENTITY,16,0.006651714,
13,NATIONALITY,88,0.0070744925,
13,PHYSICAL_APPEARANCE,35,0.0069530937,
13,RACE_ETHNICITY,34,0.0049855663,
13,RACE_X_GENDER,102,0.0011372201,
13,RACE_X_SES,49,0.0030078553,
13,RELIGION,17,0.008148507,
13,SES,213,0.0007281582,
13,SEXUAL_ORIENTATION,14,0.0026139484,
14,AGE,56,0.0018067834,
14,DISABILITY_STATUS,26,0.0005690046,
14,GENDER_IDENTITY,3,0.014699153,
14,NATIONALITY,17,0.0037955812,
14,PHYSICAL_APPEARANCE,51,0.000612692,
