question_index,category,n_amb,volatility_var,disagreement_rate
1,AGE,15,0.0005322272,
1,DISABILITY_STATUS,22,0.0002902842,
1,GENDER_IDENTITY,4,0.008218944,
1,NATIONALITY,18,0.0016639339,
1,PHYSICAL_APPEARANCE,31,0.004196533,
1,RACE_ETHNICITY,73,0.001337691,
1,RACE_X_GENDER,101,0.0026720897,
1,RACE_X_SES,215,0.0018081147,
1,RELIGION,17,0.009452543,
1,SES,22,0.003936764,
1,SEXUAL_ORIENTATION,11,0.004778671,
10,AGE,68,0.0005919407,
10,DISABILITY_STATUS,52,0.0012078556,
10,GENDER_IDENTITY,32,0.0021675627,
10,NATIONALITY,49,0.0037636005,
10,PHYSICAL_APPEARANCE,32,0.00059728953,
10,RACE_ETHNICITY,16,0.003047513,
10,RACE_X_SES,260,0.011056622,
10,RELIGION,17,0.0039953035,
10,SES,29,0.0022777205,
10,SEXUAL_ORIENTATION,12,0.007968045,
11,AGE,42,0.0016542737,
11,DISABILITY_STATUS,32,0.00075581635,
11,GENDER_IDENTITY,27,0.00484374,
11,NATIONALITY,85,0.005116227,
11,PHYSICAL_APPEARANCE,31,0.0020409357,
11,RACE_ETHNICITY,18,0.0034515618,
11,RACE_X_GENDER,108,0.003124365,
11,RACE_X_SES,53,0.0015889405,
11,RELIGION,18,0.005375389,
11,SES,211,0.0047869496,
11,SEXUAL_ORIENTATION,19,0.0008150222,
12,AGE,46,0.0019070063,
12,DISABILITY_STATUS,54,0.0010265994,
12,GENDER_IDENTITY,29,0.0009109404,
12,NATIONALITY,90,0.0050463607,
12,PHYSICAL_APPEARANCE,43,0.0004186762,
12,RACE_ETHNICITY,18,0.016953137,
12,RACE_X_GENDER,264,0.0035102556,
12,RACE_X_SES,257,0.0024694272,
12,RELIGION,19,0.0019306892,
12,SES,210,0.0015623127,
12,SEXUAL_ORIENTATION,14,0.00077282946,
13,AGE,34,9.4339215e-05,
13,DISABILITY_STATUS,33,0.001108466,
13,GENDER_IDENTITY,16,0.006651712,
13,NATIONALITY,88,0.0070744855,
13,PHYSICAL_APPEARANCE,35,0.0069530895,
13,RACE_ETHNICITY,34,0.004985566,
13,RACE_X_GENDER,102,0.0011372195,
13,RACE_X_SES,49,0.0030078518,
13,RELIGION,17,0.008148509,
13,SES,213,0.00072815747,
13,SEXUAL_ORIENTATION,14,0.0026139482,
14,AGE,56,0.0018067815,
14,DISABILITY_STATUS,26,0.0005690041,
14,GENDER_IDENTITY,3,0.014699155,
14,NATIONALITY,17,0.0037955833,
14,PHYSICAL_APPEARANCE,51,0.0006126942,
14,RACE_ETHNICITY,31,0.00461347,
14,RACE_X_GENDER,262,0.0015011127,
14,RACE_X_SES,254,0.00401576,
14,RELIGION,20,0.0002498918,
14,SES,203,0.0003289371,
14,SEXUAL_ORIENTATION,14,0.002877338,
15,AGE,31,0.00020627926,
15,DISABILITY_STATUS,14,8.9075525e-05,
15,GENDER_IDENTITY,4,0.0045553953,
15,NATIONALITY,91,0.0010890538,
15,PHYSICAL_APPEARANCE,29,0.0021068284,
15,RACE_ETHNICITY,19,0.0062540937,
15,RACE_X_GENDER,50,0.008941184,
